epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,115.231,1.90316,3.69086,0.01443,0.19729,0.24754,0.05658,0.0423,0.02169,1.80913,2.61616,0.01338,0.20529,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687
2,192.605,1.4803,2.23226,0.01306,0.16231,0.28387,0.08471,0.06557,0.03846,1.56841,2.17516,0.01342,0.1823,0.0198487,0.00661625,0.0198487,0.00661625,0.0198487,0.00661625,0.0198487,0.00661625
3,265.469,1.42526,1.95669,0.01233,0.15789,0.27074,0.10328,0.04847,0.022,1.7492,2.65174,0.01184,0.20478,0.0295849,0.00986163,0.0295849,0.00986163,0.0295849,0.00986163,0.0295849,0.00986163
4,336.525,1.38799,1.8402,0.01344,0.15321,0.55689,0.13209,0.0723,0.03845,1.60841,2.06913,0.01434,0.15687,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,404.148,1.35133,1.73,0.01301,0.14119,0.5489,0.14152,0.07298,0.0383,1.56628,2.11116,0.01372,0.14654,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,471.711,1.32106,1.65351,0.01309,0.13629,0.35304,0.15663,0.08841,0.05052,1.49404,2.03536,0.01206,0.14776,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,539.228,1.3094,1.61016,0.01302,0.13649,0.33628,0.12936,0.06541,0.03498,1.56324,2.2031,0.0141,0.15196,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,607.079,1.28905,1.54916,0.01264,0.13439,0.40588,0.14172,0.08005,0.04141,1.59236,2.11135,0.01483,0.14497,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,674.848,1.28874,1.54002,0.01279,0.13448,0.39537,0.13476,0.07253,0.03819,1.60352,2.29113,0.01339,0.14823,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,742.816,1.26313,1.49013,0.01254,0.12711,0.19958,0.13789,0.08572,0.04945,1.52212,2.07275,0.01316,0.13329,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,810.849,1.25629,1.46903,0.01277,0.13048,0.21316,0.1572,0.11069,0.06396,1.47603,1.92357,0.01442,0.13317,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,878.95,1.25719,1.45082,0.01295,0.13146,0.34733,0.13189,0.08442,0.04585,1.59736,2.1512,0.01552,0.13749,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,947.227,1.25974,1.44844,0.01303,0.12861,0.23468,0.17679,0.13353,0.08486,1.29368,1.78804,0.01282,0.13259,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1015.41,1.2449,1.41583,0.01285,0.12868,0.23143,0.17116,0.1232,0.07845,1.36527,1.86585,0.01426,0.11879,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
