epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,127.572,0.91602,0.69741,0.01728,0.03775,0.36374,0.31613,0.35667,0.25672,1.22083,1.28893,0.0207,0.04087,0.00108947,0.00108947,0.00108947
38,130.493,0.93774,0.72454,0.01631,0.03533,0.32459,0.29066,0.30851,0.1958,1.41165,1.63547,0.02069,0.0255,0.00108004,0.00108004,0.00108004
39,133.338,0.92677,0.66754,0.01767,0.03713,0.35736,0.31548,0.34175,0.24015,1.28202,1.40134,0.02071,0.02222,0.00107061,0.00107061,0.00107061
40,136.242,0.92121,0.72747,0.01823,0.03844,0.36795,0.3258,0.358,0.26287,1.19272,1.32434,0.02047,0.03665,0.00106118,0.00106118,0.00106118
41,139.163,0.97004,0.76299,0.01707,0.03635,0.30778,0.27076,0.28572,0.16612,1.59016,1.83092,0.02137,0.03748,0.00105174,0.00105174,0.00105174
42,142.059,0.86607,0.65869,0.01795,0.03443,0.35984,0.31425,0.34865,0.2355,1.34863,1.45445,0.02089,0.04602,0.00104231,0.00104231,0.00104231
43,144.885,0.92903,0.69824,0.01793,0.04019,0.32902,0.32283,0.33825,0.25616,1.13787,1.44483,0.0205,0.04547,0.00103288,0.00103288,0.00103288
44,147.698,0.92347,0.66069,0.01842,0.03492,0.33103,0.29845,0.32159,0.19068,1.51717,1.57994,0.02166,0.03295,0.00102345,0.00102345,0.00102345
45,150.607,0.90041,0.63418,0.01834,0.03447,0.3779,0.32016,0.3628,0.27569,1.13593,1.40614,0.02011,0.03735,0.00101402,0.00101402,0.00101402
46,153.675,0.83831,0.63452,0.01787,0.02958,0.34079,0.26087,0.30746,0.22171,1.28854,1.75154,0.0208,0.03471,0.00100459,0.00100459,0.00100459
47,156.6,0.87161,0.66069,0.01604,0.0332,0.36929,0.2971,0.34227,0.23697,1.39664,1.50679,0.02079,0.0293,0.000995156,0.000995156,0.000995156
48,159.409,0.90703,0.67504,0.01728,0.03634,0.38353,0.30369,0.35593,0.25811,1.28494,1.49389,0.02082,0.03293,0.000985724,0.000985724,0.000985724
49,162.236,0.8587,0.60668,0.01607,0.03016,0.4081,0.3145,0.36479,0.25853,1.30384,1.34388,0.0217,0.03383,0.000976293,0.000976293,0.000976293
50,165.038,0.86777,0.66471,0.01717,0.03225,0.37513,0.32625,0.36153,0.25312,1.31011,1.36424,0.02086,0.03394,0.000966861,0.000966861,0.000966861
51,167.816,0.85452,0.61898,0.01907,0.03438,0.39515,0.32596,0.37063,0.26107,1.26082,1.31257,0.02088,0.0344,0.00095743,0.00095743,0.00095743
52,170.701,0.84906,0.63688,0.01688,0.03269,0.39157,0.32207,0.36705,0.28377,1.14898,1.33605,0.02111,0.04042,0.000947999,0.000947999,0.000947999
53,173.488,0.86856,0.64822,0.01588,0.03466,0.39962,0.31646,0.36764,0.25126,1.36313,1.35778,0.02149,0.02857,0.000938567,0.000938567,0.000938567
54,176.324,0.87878,0.60978,0.01838,0.03628,0.37741,0.31996,0.36605,0.28363,1.12131,1.37475,0.02059,0.03128,0.000929136,0.000929136,0.000929136
55,179.121,0.86155,0.62028,0.0173,0.02664,0.36719,0.29975,0.34889,0.24004,1.34998,1.48755,0.02078,0.04981,0.000919704,0.000919704,0.000919704
56,182.055,0.8976,0.64382,0.01853,0.03674,0.35324,0.30516,0.34493,0.23788,1.33397,1.55802,0.0205,0.0517,0.000910273,0.000910273,0.000910273
57,184.891,0.85626,0.59138,0.01619,0.03603,0.31345,0.29459,0.31767,0.22137,1.29342,1.64345,0.02019,0.03691,0.000900842,0.000900842,0.000900842
58,187.994,0.82107,0.57405,0.01637,0.03522,0.33245,0.30123,0.33008,0.23094,1.29416,1.65609,0.02081,0.04251,0.00089141,0.00089141,0.00089141
59,190.829,0.85255,0.59843,0.01748,0.03497,0.34857,0.31376,0.34633,0.23847,1.36192,1.48453,0.02143,0.04191,0.000881979,0.000881979,0.000881979
60,193.732,0.82596,0.59425,0.01755,0.03174,0.34626,0.30393,0.33727,0.23349,1.36576,1.56679,0.02129,0.04806,0.000872547,0.000872547,0.000872547
61,196.57,0.79074,0.5776,0.0161,0.02471,0.35059,0.30393,0.33358,0.22053,1.40691,1.59546,0.02149,0.03572,0.000863116,0.000863116,0.000863116
62,199.433,0.84308,0.60593,0.01743,0.03041,0.37766,0.32614,0.36418,0.26392,1.2427,1.38389,0.02047,0.03177,0.000853685,0.000853685,0.000853685
63,202.263,0.86916,0.60174,0.01729,0.04023,0.37548,0.31474,0.35638,0.27715,1.10463,1.39551,0.02066,0.02968,0.000844253,0.000844253,0.000844253
64,205.099,0.85615,0.61115,0.01788,0.03949,0.3354,0.30025,0.32593,0.22257,1.30113,1.60373,0.02142,0.03,0.000834822,0.000834822,0.000834822
65,208.034,0.86096,0.60851,0.01718,0.03737,0.32544,0.2774,0.30533,0.20024,1.41073,1.77036,0.02096,0.03434,0.00082539,0.00082539,0.00082539
66,210.869,0.84057,0.5804,0.01695,0.03816,0.36976,0.28671,0.33474,0.23985,1.28851,1.62281,0.02115,0.04514,0.000815959,0.000815959,0.000815959
67,213.705,0.83457,0.60749,0.01706,0.03363,0.35717,0.26929,0.32647,0.24031,1.20263,1.74495,0.02071,0.04192,0.000806528,0.000806528,0.000806528
68,216.594,0.82075,0.5723,0.01817,0.03206,0.37693,0.34909,0.36759,0.26433,1.21372,1.42727,0.0205,0.04256,0.000797096,0.000797096,0.000797096
69,219.513,0.81144,0.5496,0.01754,0.02595,0.49734,0.42572,0.43892,0.32417,1.15748,1.44096,0.02117,0.04268,0.000787665,0.000787665,0.000787665
70,222.674,0.78709,0.55051,0.01608,0.03048,0.37793,0.31622,0.37156,0.27635,1.2268,1.44377,0.02038,0.04759,0.000778233,0.000778233,0.000778233
71,225.514,0.82974,0.59278,0.01834,0.03244,0.38313,0.31892,0.36033,0.28005,1.16259,1.5033,0.02086,0.05473,0.000768802,0.000768802,0.000768802
72,228.298,0.78091,0.50174,0.01803,0.02702,0.38902,0.31867,0.35914,0.26374,1.23055,1.43263,0.02073,0.04933,0.000759371,0.000759371,0.000759371
73,231.105,0.83098,0.59079,0.01788,0.03105,0.35934,0.29337,0.3349,0.22434,1.35217,1.61883,0.02045,0.03517,0.000749939,0.000749939,0.000749939
74,234.021,0.84996,0.59925,0.01762,0.03621,0.34523,0.29377,0.3292,0.22452,1.30801,1.56584,0.02082,0.0375,0.000740508,0.000740508,0.000740508
75,236.907,0.81989,0.54164,0.01806,0.02916,0.30684,0.37136,0.35295,0.24763,1.27536,1.46188,0.02029,0.03975,0.000731076,0.000731076,0.000731076
76,239.717,0.80395,0.60528,0.01891,0.02809,0.37894,0.40056,0.36106,0.25536,1.24057,1.4845,0.02029,0.03837,0.000721645,0.000721645,0.000721645
77,242.539,0.77255,0.52712,0.01726,0.02587,0.34064,0.28084,0.31983,0.21461,1.30189,1.68277,0.0208,0.03193,0.000712214,0.000712214,0.000712214
78,245.439,0.76311,0.51386,0.01644,0.0249,0.32972,0.34026,0.35667,0.27286,1.11047,1.53252,0.02063,0.02493,0.000702782,0.000702782,0.000702782
79,248.251,0.78616,0.54175,0.01639,0.02996,0.36269,0.33357,0.3705,0.28184,1.12358,1.43769,0.02051,0.02846,0.000693351,0.000693351,0.000693351
80,251.156,0.75267,0.4889,0.01741,0.0257,0.3388,0.30663,0.33996,0.24718,1.21926,1.58216,0.02107,0.03616,0.000683919,0.000683919,0.000683919
81,254.246,0.79326,0.51865,0.01741,0.02731,0.33754,0.30221,0.33074,0.24326,1.23029,1.63257,0.02116,0.03825,0.000674488,0.000674488,0.000674488
82,257.268,0.76952,0.4873,0.01813,0.03378,0.34517,0.31548,0.34461,0.24228,1.3063,1.50503,0.0213,0.04099,0.000665057,0.000665057,0.000665057
83,260.104,0.75082,0.50724,0.01772,0.02348,0.37177,0.32826,0.36525,0.27377,1.20089,1.44141,0.02142,0.03992,0.000655625,0.000655625,0.000655625
84,262.995,0.74142,0.50145,0.01825,0.02191,0.38903,0.32678,0.37012,0.28687,1.11052,1.38796,0.02095,0.03208,0.000646194,0.000646194,0.000646194
85,265.912,0.74213,0.47893,0.01785,0.0272,0.35864,0.32531,0.3591,0.26837,1.16294,1.4837,0.02099,0.03082,0.000636762,0.000636762,0.000636762
86,269.044,0.75462,0.50322,0.0176,0.02987,0.32663,0.31597,0.35143,0.26087,1.17617,1.58709,0.02099,0.03662,0.000627331,0.000627331,0.000627331
87,272.235,0.7631,0.50117,0.01635,0.02593,0.33875,0.32941,0.35807,0.26728,1.17142,1.57565,0.02099,0.04246,0.0006179,0.0006179,0.0006179
88,275.353,0.75196,0.48526,0.01634,0.02873,0.33281,0.32947,0.35054,0.24857,1.2792,1.55235,0.02142,0.04312,0.000608468,0.000608468,0.000608468
89,278.177,0.73347,0.4982,0.01884,0.02384,0.34559,0.31565,0.35656,0.26645,1.17882,1.567,0.02092,0.03647,0.000599037,0.000599037,0.000599037
90,281.446,0.74905,0.48596,0.01635,0.02721,0.34409,0.29803,0.33744,0.24977,1.21727,1.60079,0.02094,0.03715,0.000589605,0.000589605,0.000589605
91,284.604,0.74564,0.4961,0.01805,0.02535,0.3504,0.31651,0.35101,0.26663,1.16428,1.50336,0.02117,0.04031,0.000580174,0.000580174,0.000580174
92,287.496,0.76229,0.45435,0.01664,0.02646,0.3422,0.31382,0.34433,0.24563,1.31676,1.54216,0.02178,0.04586,0.000570743,0.000570743,0.000570743
93,290.353,0.74813,0.48939,0.01796,0.02595,0.34247,0.36776,0.37151,0.28465,1.1378,1.46493,0.02095,0.04524,0.000561311,0.000561311,0.000561311
94,293.209,0.78331,0.50096,0.0165,0.02889,0.31411,0.32599,0.32891,0.22719,1.37895,1.73213,0.02115,0.0436,0.00055188,0.00055188,0.00055188
95,296.225,0.74343,0.48808,0.01715,0.02761,0.40573,0.3957,0.37653,0.28837,1.14137,1.48629,0.0212,0.04085,0.000542448,0.000542448,0.000542448
96,299.157,0.75323,0.48927,0.01847,0.02804,0.35368,0.35498,0.3612,0.26866,1.22513,1.59881,0.02124,0.04181,0.000533017,0.000533017,0.000533017
97,302.069,0.74171,0.50376,0.0167,0.02833,0.36429,0.30404,0.35833,0.27019,1.19484,1.61588,0.02085,0.03818,0.000523586,0.000523586,0.000523586
98,305.009,0.73512,0.46645,0.01594,0.02813,0.34804,0.29337,0.33158,0.2328,1.31946,1.63391,0.02136,0.03528,0.000514154,0.000514154,0.000514154
99,307.929,0.73083,0.45828,0.01616,0.02341,0.31505,0.38759,0.35664,0.26427,1.20125,1.54737,0.02114,0.03005,0.000504723,0.000504723,0.000504723
100,311.402,0.73539,0.5027,0.01559,0.02491,0.38355,0.35884,0.35335,0.25553,1.26229,1.6299,0.02108,0.03205,0.000495291,0.000495291,0.000495291
101,314.261,0.70845,0.4488,0.0163,0.02236,0.41002,0.3753,0.37487,0.28461,1.15863,1.48926,0.02094,0.03445,0.00048586,0.00048586,0.00048586
102,317.091,0.74921,0.48256,0.01727,0.02934,0.33022,0.37266,0.36352,0.26853,1.23474,1.53983,0.0213,0.03157,0.000476429,0.000476429,0.000476429
103,319.937,0.76745,0.50545,0.01824,0.02816,0.35987,0.30729,0.35513,0.27231,1.1668,1.54309,0.02109,0.03346,0.000466997,0.000466997,0.000466997
104,322.919,0.74176,0.48882,0.01889,0.02447,0.36122,0.30057,0.34689,0.26429,1.19671,1.5697,0.02101,0.03722,0.000457566,0.000457566,0.000457566
105,325.771,0.72162,0.47651,0.01717,0.02282,0.34811,0.27875,0.33251,0.23921,1.32556,1.76641,0.021,0.03754,0.000448134,0.000448134,0.000448134
106,328.609,0.73783,0.50853,0.01709,0.02433,0.36863,0.30147,0.359,0.28662,1.08497,1.56887,0.02072,0.03384,0.000438703,0.000438703,0.000438703
107,331.476,0.74972,0.47104,0.01713,0.02627,0.36445,0.29091,0.33265,0.23562,1.33216,1.63814,0.02134,0.03356,0.000429272,0.000429272,0.000429272
108,334.474,0.70785,0.46857,0.01614,0.02034,0.38319,0.30172,0.35241,0.26396,1.21138,1.55617,0.0211,0.0314,0.00041984,0.00041984,0.00041984
109,337.317,0.71697,0.45823,0.01613,0.0205,0.36554,0.3046,0.34983,0.26514,1.19563,1.63649,0.02101,0.03111,0.000410409,0.000410409,0.000410409
110,340.135,0.73125,0.4846,0.01741,0.0246,0.36461,0.29435,0.33821,0.24837,1.26417,1.63678,0.02131,0.03007,0.000400977,0.000400977,0.000400977
111,343.011,0.71416,0.45636,0.01596,0.02585,0.37886,0.31548,0.36698,0.28248,1.1505,1.50149,0.02101,0.03143,0.000391546,0.000391546,0.000391546
112,345.842,0.73684,0.48475,0.01371,0.02471,0.38526,0.30772,0.36384,0.2774,1.18557,1.5459,0.0211,0.03046,0.000382115,0.000382115,0.000382115
113,349.039,0.69436,0.44566,0.01667,0.02356,0.37696,0.3086,0.35847,0.27657,1.169,1.58221,0.02107,0.03088,0.000372683,0.000372683,0.000372683
114,351.888,0.72637,0.46103,0.01592,0.02638,0.35123,0.32039,0.35171,0.26445,1.20925,1.54989,0.0213,0.03259,0.000363252,0.000363252,0.000363252
115,354.717,0.70841,0.44123,0.01459,0.0249,0.35095,0.31179,0.34526,0.255,1.23806,1.57526,0.02141,0.03352,0.00035382,0.00035382,0.00035382
116,357.587,0.69641,0.45002,0.01639,0.02469,0.3489,0.30344,0.34394,0.25524,1.22649,1.64496,0.02125,0.03035,0.000344389,0.000344389,0.000344389
117,360.451,0.69705,0.42898,0.01643,0.02322,0.33326,0.29656,0.33394,0.24257,1.27191,1.70062,0.02122,0.02982,0.000334958,0.000334958,0.000334958
118,363.396,0.70005,0.46146,0.01769,0.02452,0.35165,0.2976,0.34216,0.2565,1.21012,1.63074,0.02118,0.02992,0.000325526,0.000325526,0.000325526
119,366.227,0.72323,0.46144,0.0158,0.02419,0.36276,0.30344,0.35165,0.26671,1.19003,1.58745,0.02133,0.02939,0.000316095,0.000316095,0.000316095
120,369.061,0.69916,0.46467,0.01676,0.02207,0.36101,0.30713,0.35613,0.27424,1.1586,1.60901,0.02109,0.02998,0.000306663,0.000306663,0.000306663
121,371.966,0.71319,0.461,0.01505,0.02514,0.34475,0.28754,0.33138,0.24443,1.25095,1.68998,0.02108,0.03192,0.000297232,0.000297232,0.000297232
122,374.908,0.7052,0.45475,0.01596,0.02362,0.34827,0.29722,0.33816,0.25764,1.16604,1.64773,0.02086,0.03099,0.000287801,0.000287801,0.000287801
123,377.81,0.67954,0.41391,0.01626,0.02495,0.35244,0.30762,0.35221,0.27281,1.12221,1.59611,0.0208,0.02911,0.000278369,0.000278369,0.000278369
124,381.299,0.71146,0.47771,0.01774,0.02641,0.34604,0.31032,0.35472,0.26401,1.20728,1.60956,0.02106,0.02882,0.000268938,0.000268938,0.000268938
125,384.358,0.72438,0.48916,0.01748,0.02338,0.34789,0.31671,0.35197,0.26303,1.20429,1.59873,0.02102,0.02956,0.000259506,0.000259506,0.000259506
126,387.451,0.69123,0.41632,0.01576,0.02468,0.35721,0.314,0.35889,0.27728,1.14422,1.57495,0.02087,0.02981,0.000250075,0.000250075,0.000250075
127,390.282,0.70877,0.45548,0.01585,0.02469,0.36618,0.30737,0.35481,0.27212,1.16993,1.56692,0.02093,0.03109,0.000240644,0.000240644,0.000240644
128,393.129,0.67066,0.43283,0.01616,0.01854,0.35408,0.30645,0.3475,0.25869,1.24502,1.61685,0.02122,0.03297,0.000231212,0.000231212,0.000231212
129,396.038,0.69104,0.44636,0.01477,0.02514,0.35249,0.3172,0.35694,0.27376,1.18436,1.56219,0.02111,0.03287,0.000221781,0.000221781,0.000221781
130,399.042,0.72552,0.47308,0.01633,0.02434,0.36638,0.31818,0.36325,0.28103,1.15252,1.5089,0.02099,0.03222,0.000212349,0.000212349,0.000212349
131,401.889,0.70469,0.4549,0.01665,0.02266,0.35471,0.31251,0.34996,0.2574,1.25952,1.56416,0.0211,0.03269,0.000202918,0.000202918,0.000202918
132,404.71,0.7142,0.44087,0.01544,0.02512,0.35282,0.31032,0.34758,0.25769,1.24584,1.58833,0.02108,0.0311,0.000193487,0.000193487,0.000193487
133,407.612,0.6998,0.44214,0.01615,0.02437,0.34819,0.31179,0.34825,0.26542,1.18872,1.6136,0.02098,0.03101,0.000184055,0.000184055,0.000184055
134,410.513,0.69559,0.45563,0.01578,0.02229,0.3493,0.30663,0.34688,0.26355,1.20244,1.6444,0.02098,0.03141,0.000174624,0.000174624,0.000174624
135,413.498,0.70199,0.48316,0.0148,0.0278,0.3626,0.30147,0.34617,0.2592,1.23405,1.66725,0.02103,0.03202,0.000165192,0.000165192,0.000165192
136,416.344,0.69825,0.45655,0.01501,0.02575,0.36259,0.29754,0.34353,0.25787,1.23327,1.68847,0.02105,0.03166,0.000155761,0.000155761,0.000155761
137,419.356,0.69525,0.42616,0.01796,0.0219,0.36104,0.29621,0.34304,0.25916,1.2182,1.67962,0.02108,0.03013,0.00014633,0.00014633,0.00014633
