epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,105.3,1.90316,3.69086,0.01443,0.19729,0.24754,0.05658,0.0423,0.02169,1.80913,2.61616,0.01338,0.20529,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687
2,183.29,1.4803,2.23226,0.01306,0.16231,0.28387,0.08471,0.06557,0.03846,1.56841,2.17516,0.01342,0.1823,0.0198487,0.00661625,0.0198487,0.00661625,0.0198487,0.00661625,0.0198487,0.00661625
3,256.412,1.42526,1.95669,0.01233,0.15789,0.27074,0.10328,0.04847,0.022,1.7492,2.65174,0.01184,0.20478,0.0295849,0.00986163,0.0295849,0.00986163,0.0295849,0.00986163,0.0295849,0.00986163
4,326.884,1.38799,1.8402,0.01344,0.15321,0.55689,0.13209,0.0723,0.03845,1.60841,2.06913,0.01434,0.15687,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,397.134,1.35133,1.73,0.01301,0.14119,0.5489,0.14152,0.07298,0.0383,1.56628,2.11116,0.01372,0.14654,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,467.432,1.32106,1.65351,0.01309,0.13629,0.35304,0.15663,0.08841,0.05052,1.49404,2.03536,0.01206,0.14776,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,537.53,1.3094,1.61016,0.01302,0.13649,0.33628,0.12936,0.06541,0.03498,1.56324,2.2031,0.0141,0.15196,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,608.174,1.28905,1.54916,0.01264,0.13439,0.40588,0.14172,0.08005,0.04141,1.59236,2.11135,0.01483,0.14497,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,678.34,1.28874,1.54002,0.01279,0.13448,0.39537,0.13476,0.07253,0.03819,1.60352,2.29113,0.01339,0.14823,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,748.653,1.26313,1.49013,0.01254,0.12711,0.19958,0.13789,0.08572,0.04945,1.52212,2.07275,0.01316,0.13329,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,818.947,1.25629,1.46903,0.01277,0.13048,0.21316,0.1572,0.11069,0.06396,1.47603,1.92357,0.01442,0.13317,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,890.198,1.25719,1.45082,0.01295,0.13146,0.34733,0.13189,0.08442,0.04585,1.59736,2.1512,0.01552,0.13749,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,961.74,1.25974,1.44844,0.01303,0.12861,0.23468,0.17679,0.13353,0.08486,1.29368,1.78804,0.01282,0.13259,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1032.45,1.2449,1.41583,0.01285,0.12868,0.23143,0.17116,0.1232,0.07845,1.36527,1.86585,0.01426,0.11879,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1103,1.25734,1.41265,0.01294,0.13119,0.31358,0.14216,0.10917,0.06692,1.446,1.88914,0.01369,0.13019,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1173.97,1.24153,1.39741,0.01197,0.12958,0.23623,0.11945,0.0765,0.04103,1.64454,2.24465,0.01421,0.12565,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1245.12,1.2263,1.36671,0.01292,0.12406,0.24169,0.14273,0.08436,0.04684,1.54078,2.14673,0.01378,0.1367,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1316.77,1.21987,1.34635,0.01331,0.12324,0.25763,0.15306,0.0931,0.05755,1.41268,1.9769,0.01416,0.12394,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1388.88,1.22434,1.3414,0.01248,0.12451,0.17463,0.17099,0.126,0.08065,1.35282,1.89744,0.01383,0.11357,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1460.18,1.20632,1.31983,0.01301,0.11791,0.32263,0.14148,0.10168,0.06178,1.41478,1.93133,0.01223,0.11134,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1531.73,1.2055,1.30557,0.01265,0.11645,0.19063,0.17933,0.13814,0.08368,1.34101,1.83858,0.01346,0.11536,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1602.39,1.20007,1.29232,0.0122,0.11606,0.1431,0.14857,0.09747,0.0567,1.4994,2.06639,0.01361,0.10698,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1673.05,1.19483,1.27945,0.01225,0.11901,0.19165,0.12485,0.08123,0.04214,1.59252,2.20832,0.01362,0.12006,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1744.91,1.19632,1.29132,0.01192,0.11935,0.15076,0.15147,0.09831,0.05955,1.39773,1.99443,0.01347,0.11056,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,1816.04,1.19166,1.2649,0.01298,0.11765,0.26976,0.14657,0.10371,0.05977,1.44586,1.98385,0.0141,0.11213,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,1887.06,1.18428,1.24475,0.01264,0.11517,0.14723,0.1329,0.09091,0.05217,1.52859,2.1412,0.01425,0.11546,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,1958.14,1.17873,1.2386,0.01273,0.11354,0.2177,0.14565,0.1043,0.06375,1.43398,1.96235,0.01292,0.10917,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,2029.76,1.17004,1.22096,0.01241,0.11247,0.17416,0.163,0.11991,0.07293,1.42101,1.94726,0.0141,0.10983,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,2101.53,1.17167,1.21238,0.01347,0.11323,0.15812,0.14111,0.09548,0.05318,1.47347,2.01787,0.01438,0.10942,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,2173.4,1.1726,1.22728,0.01238,0.11321,0.26485,0.12656,0.09979,0.05374,1.52727,1.97419,0.01381,0.11046,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,2245.04,1.16124,1.20945,0.013,0.10967,0.2057,0.17681,0.14443,0.08747,1.34103,1.83356,0.01193,0.10343,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,2317.38,1.17574,1.20237,0.01363,0.11562,0.24819,0.16825,0.13028,0.08214,1.36074,1.86171,0.01708,0.11483,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2388.87,1.16258,1.18079,0.01339,0.11064,0.09849,0.12894,0.08659,0.04804,1.54803,2.18153,0.01291,0.10769,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2460.76,1.14857,1.17274,0.01228,0.10642,0.29104,0.1541,0.12431,0.07664,1.40315,1.86368,0.01363,0.10273,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2532.5,1.14833,1.16103,0.01288,0.10928,0.27822,0.13652,0.1103,0.06191,1.47876,2.00219,0.01241,0.10422,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2604.43,1.14614,1.16272,0.01355,0.10822,0.22522,0.14279,0.11243,0.06811,1.41806,1.94279,0.01246,0.11066,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,2676.89,1.15396,1.1574,0.01337,0.10864,0.2166,0.16961,0.1475,0.10473,1.23823,1.79708,0.01188,0.10273,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,2748.91,1.14272,1.14377,0.01287,0.10719,0.2238,0.14524,0.11389,0.06416,1.48758,2.02133,0.01323,0.10082,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,2820.97,1.13905,1.13219,0.01255,0.10601,0.16157,0.15476,0.14917,0.09522,1.31949,1.85938,0.01332,0.10315,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,2892.63,1.1372,1.13137,0.01255,0.10789,0.114,0.14891,0.10971,0.06615,1.4098,2.00049,0.01324,0.10471,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,2965.02,1.14246,1.12872,0.01267,0.1095,0.17232,0.15096,0.11578,0.07071,1.42931,1.96821,0.01568,0.11328,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,3037.6,1.14739,1.13549,0.01273,0.11306,0.1489,0.12844,0.08594,0.04865,1.53276,2.17847,0.01499,0.10992,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,3109.45,1.14252,1.12899,0.01283,0.10771,0.10641,0.13618,0.09994,0.05873,1.48614,2.03499,0.0143,0.10545,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,3181.55,1.13378,1.11366,0.01283,0.10621,0.10701,0.13956,0.09848,0.05929,1.45016,2.0384,0.01508,0.10831,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,3253.24,1.13509,1.10461,0.01224,0.106,0.21512,0.16909,0.15146,0.10033,1.26991,1.80378,0.01355,0.10033,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,3326.77,1.13578,1.10163,0.01274,0.10603,0.11027,0.13638,0.0987,0.05731,1.45641,1.99616,0.01393,0.10523,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,3399.6,1.13112,1.09613,0.01247,0.10694,0.1495,0.1478,0.13293,0.08937,1.28485,1.87547,0.0146,0.10624,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,3471.46,1.13363,1.09212,0.01189,0.10625,0.17925,0.13751,0.10921,0.06231,1.47447,1.98225,0.0138,0.10273,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,3543.3,1.12326,1.08741,0.01256,0.10496,0.1637,0.13284,0.0926,0.05157,1.52496,2.11637,0.01438,0.10907,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,3615.26,1.12364,1.08572,0.01301,0.10756,0.2299,0.14204,0.11469,0.06676,1.46351,2.04112,0.0133,0.10604,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,3688.15,1.11439,1.07874,0.01385,0.10471,0.18427,0.13963,0.11873,0.07138,1.41122,1.93059,0.01459,0.10287,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,3760.21,1.11598,1.0653,0.01343,0.10353,0.19421,0.14643,0.12656,0.07776,1.39611,1.90568,0.01316,0.10045,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,3832.17,1.10817,1.05924,0.0128,0.10264,0.19833,0.1502,0.12724,0.07514,1.41136,1.94443,0.01375,0.09852,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,3904.51,1.11184,1.05739,0.01415,0.10197,0.21058,0.12949,0.09157,0.05128,1.52415,2.16994,0.01467,0.09994,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,3977.27,1.11222,1.05769,0.0132,0.1023,0.21751,0.13397,0.10278,0.05781,1.50309,2.0943,0.0136,0.10392,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,4050.26,1.10046,1.04707,0.01271,0.10034,0.25758,0.15561,0.13447,0.08578,1.33464,1.86439,0.0134,0.10048,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
