epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,9.02706,2.84666,7.54127,0.02078,0.42583,0,0,0,0,2.36757,4.67353,0.01769,0.10357,0.00027151,0.00027151,0.00027151
2,11.8025,2.80532,6.11576,0.02007,0.4144,0,0,0,0,2.36552,4.68424,0.01784,0.11374,0.000553632,0.000553632,0.000553632
3,15.2333,2.72369,6.00604,0.01979,0.4391,0,0,0,0,2.36223,4.70311,0.01829,0.12166,0.000831981,0.000831981,0.000831981
4,18.2855,2.71132,5.58364,0.01998,0.40465,0,0,0,0,2.36096,4.74688,0.01851,0.08383,0.00110656,0.00110656,0.00110656
5,21.4045,2.6863,5.16341,0.02115,0.39805,0,0,0,0,2.31925,4.54936,0.0195,0.04488,0.00137736,0.00137736,0.00137736
6,24.1998,2.63831,4.8643,0.0215,0.3899,0,0,0,0,2.40475,4.17059,0.01852,0.1001,0.00138184,0.00138184,0.00138184
7,27.1341,2.59416,4.82371,0.02145,0.38175,0.01456,0.13366,0.01141,0.00269,2.56023,3.32723,0.02788,0.35171,0.00137241,0.00137241,0.00137241
8,30.0934,2.59565,4.56702,0.02129,0.39852,0.01502,0.14668,0.01091,0.0026,2.45033,3.52714,0.02427,0.34061,0.00136298,0.00136298,0.00136298
9,32.9463,2.54242,4.18457,0.0217,0.35855,0.02336,0.11523,0.01541,0.00385,2.44924,3.44578,0.02085,0.36136,0.00135355,0.00135355,0.00135355
10,35.8781,2.5149,3.8152,0.02023,0.35005,0.02604,0.14644,0.01925,0.00462,2.40334,3.49217,0.02061,0.33697,0.00134412,0.00134412,0.00134412
11,38.895,2.42893,3.63853,0.02218,0.32613,0.08585,0.11327,0.05528,0.01391,2.33981,2.99595,0.02497,0.29434,0.00133469,0.00133469,0.00133469
12,41.766,2.40705,3.52123,0.02311,0.30961,0.09586,0.12798,0.05304,0.01288,2.43034,3.03688,0.02573,0.29802,0.00132525,0.00132525,0.00132525
13,44.625,2.44387,3.41269,0.02264,0.32984,0.097,0.09386,0.05824,0.01583,2.49896,3.08044,0.02383,0.29081,0.00131582,0.00131582,0.00131582
14,47.5448,2.37585,3.1582,0.01957,0.30063,0.03419,0.17224,0.03714,0.00875,2.62485,3.28988,0.0223,0.28328,0.00130639,0.00130639,0.00130639
15,50.4362,2.31667,3.16704,0.02049,0.28551,0.03672,0.2,0.03581,0.01025,2.40819,3.26297,0.02551,0.24798,0.00129696,0.00129696,0.00129696
16,53.2201,2.32326,3.05477,0.02326,0.30502,0.06983,0.09484,0.06422,0.01871,2.35963,3.66044,0.02525,0.27512,0.00128753,0.00128753,0.00128753
17,56.5797,2.2826,2.97204,0.02226,0.27039,0.06757,0.15872,0.07907,0.02374,2.28733,3.31791,0.02637,0.21487,0.0012781,0.0012781,0.0012781
18,60.1401,2.2999,2.95946,0.02107,0.26362,0.06249,0.17297,0.05896,0.01521,2.3355,3.27191,0.02334,0.24873,0.00126867,0.00126867,0.00126867
19,63.1719,2.21187,2.76848,0.02192,0.24918,0.12985,0.13194,0.10607,0.03329,2.23836,2.79034,0.02474,0.26096,0.00125923,0.00125923,0.00125923
20,66.1929,2.13689,2.72724,0.02433,0.22598,0.16015,0.12875,0.11995,0.04823,2.04055,2.67667,0.02494,0.18639,0.0012498,0.0012498,0.0012498
21,69.1105,2.15427,2.75649,0.02241,0.2315,0.10345,0.13022,0.07913,0.02566,2.20539,3.03308,0.02399,0.20628,0.00124037,0.00124037,0.00124037
22,71.9478,2.11919,2.50011,0.02017,0.22028,0.17013,0.13735,0.12284,0.04948,2.05203,2.71477,0.02346,0.17398,0.00123094,0.00123094,0.00123094
23,74.9134,2.09615,2.68078,0.02133,0.21063,0.18406,0.13268,0.12343,0.04807,2.02267,2.67374,0.0234,0.17042,0.00122151,0.00122151,0.00122151
24,77.862,2.09296,2.56158,0.02006,0.22949,0.17348,0.13145,0.11067,0.04777,2.00414,2.66903,0.02533,0.20211,0.00121208,0.00121208,0.00121208
25,80.6787,2.08425,2.47686,0.02236,0.21753,0.70638,0.15086,0.1572,0.07315,1.93616,2.4218,0.02287,0.16837,0.00120265,0.00120265,0.00120265
26,83.6215,2.01226,2.4469,0.02012,0.20106,0.6941,0.14764,0.14299,0.06099,2.03202,2.59765,0.02385,0.1808,0.00119322,0.00119322,0.00119322
27,86.4325,1.99915,2.47496,0.01996,0.18461,0.70696,0.15921,0.16022,0.07601,1.97814,2.44016,0.02456,0.16582,0.00118378,0.00118378,0.00118378
28,89.4854,1.99023,2.3808,0.02239,0.19031,0.73319,0.12973,0.14716,0.06356,2.22063,2.67325,0.02515,0.19094,0.00117435,0.00117435,0.00117435
29,92.6451,2.00411,2.3553,0.02046,0.17804,0.67235,0.1543,0.14017,0.05742,2.067,2.53676,0.02322,0.21192,0.00116492,0.00116492,0.00116492
30,96.3749,2.022,2.30488,0.02112,0.17673,0.68478,0.1656,0.14789,0.05156,2.16185,2.52442,0.02339,0.17702,0.00115549,0.00115549,0.00115549
31,99.7045,1.90821,2.26433,0.0205,0.1595,0.65535,0.15946,0.11491,0.03876,2.12059,2.63746,0.02257,0.16475,0.00114606,0.00114606,0.00114606
32,102.573,1.86312,2.16783,0.02009,0.16506,0.72958,0.18034,0.17967,0.07856,2.05826,2.46913,0.0234,0.16471,0.00113663,0.00113663,0.00113663
33,105.924,1.88109,2.14872,0.02038,0.15982,0.72848,0.1543,0.16151,0.06332,2.09797,2.62154,0.0232,0.18056,0.0011272,0.0011272,0.0011272
34,108.813,1.88757,2.19173,0.01958,0.16492,0.70292,0.18993,0.17124,0.08158,1.87071,2.3029,0.02313,0.16934,0.00111776,0.00111776,0.00111776
35,111.738,1.84973,2.1603,0.02087,0.14364,0.72509,0.16757,0.1702,0.08967,1.84541,2.37881,0.02382,0.12352,0.00110833,0.00110833,0.00110833
36,114.698,1.86647,2.1596,0.02067,0.15763,0.71682,0.18354,0.17312,0.0787,1.97949,2.40281,0.02445,0.15908,0.0010989,0.0010989,0.0010989
37,117.554,1.7736,2.01924,0.01944,0.1438,0.72795,0.21266,0.20252,0.10365,1.8747,2.18625,0.02318,0.12798,0.00108947,0.00108947,0.00108947
38,121.01,1.8049,2.07994,0.01998,0.14008,0.72995,0.18477,0.19421,0.09339,1.91134,2.30668,0.02271,0.11735,0.00108004,0.00108004,0.00108004
39,124.196,1.77072,1.97166,0.01979,0.13732,0.72594,0.20835,0.20364,0.1048,1.86035,2.2684,0.02308,0.11942,0.00107061,0.00107061,0.00107061
40,127.747,1.74372,1.95266,0.02135,0.13077,0.76322,0.21179,0.22024,0.10284,2.00464,2.2273,0.02359,0.15169,0.00106118,0.00106118,0.00106118
41,131.299,1.74727,1.89464,0.01956,0.12473,0.7395,0.23155,0.20732,0.11499,1.69355,2.04582,0.02228,0.13687,0.00105174,0.00105174,0.00105174
42,136.383,1.70361,1.80852,0.01951,0.12072,0.74679,0.21278,0.22117,0.12411,1.80517,1.98703,0.023,0.10674,0.00104231,0.00104231,0.00104231
43,140.413,1.68996,1.84779,0.02026,0.12362,0.76057,0.21007,0.22791,0.1291,1.69984,2.04609,0.02236,0.11909,0.00103288,0.00103288,0.00103288
44,144.457,1.70221,1.87055,0.02059,0.12944,0.76008,0.22801,0.24011,0.1386,1.6424,1.91905,0.02189,0.10783,0.00102345,0.00102345,0.00102345
45,148.367,1.67248,1.80308,0.02028,0.12289,0.7362,0.22998,0.23499,0.12815,1.76536,2.03628,0.02165,0.09613,0.00101402,0.00101402,0.00101402
46,152.009,1.61545,1.78512,0.02069,0.10491,0.77476,0.22269,0.24363,0.14119,1.74732,2.03242,0.02265,0.11369,0.00100459,0.00100459,0.00100459
47,155.729,1.59953,1.76682,0.01836,0.10042,0.7349,0.21744,0.21838,0.13163,1.67258,2.04803,0.02268,0.07744,0.000995156,0.000995156,0.000995156
48,159.307,1.65782,1.77874,0.02031,0.11426,0.72536,0.20909,0.20636,0.11704,1.98981,2.10682,0.02536,0.12185,0.000985724,0.000985724,0.000985724
49,162.849,1.66275,1.70621,0.01981,0.11818,0.75396,0.2072,0.21267,0.10466,1.99577,2.08688,0.02263,0.11538,0.000976293,0.000976293,0.000976293
50,166.729,1.65377,1.65534,0.02132,0.1115,0.78773,0.24472,0.25017,0.14998,1.65838,1.84477,0.023,0.09786,0.000966861,0.000966861,0.000966861
51,170.599,1.58737,1.62345,0.02335,0.09544,0.7803,0.23956,0.2467,0.13293,1.7936,1.91957,0.02257,0.09899,0.00095743,0.00095743,0.00095743
52,174.185,1.56575,1.68867,0.01887,0.10704,0.76278,0.214,0.23286,0.13237,1.72701,1.94492,0.02284,0.0981,0.000947999,0.000947999,0.000947999
53,177.774,1.61048,1.72203,0.01988,0.11355,0.78742,0.19853,0.21961,0.10699,2.07388,2.16011,0.02256,0.12608,0.000938567,0.000938567,0.000938567
54,181.5,1.53061,1.62471,0.02155,0.10382,0.7817,0.22334,0.24115,0.12744,1.97634,2.05477,0.02346,0.10963,0.000929136,0.000929136,0.000929136
55,185.073,1.51968,1.57353,0.02027,0.08801,0.76928,0.21057,0.21972,0.10906,2.0217,2.03908,0.02533,0.14624,0.000919704,0.000919704,0.000919704
56,188.627,1.54807,1.60716,0.02194,0.09489,0.7927,0.22457,0.25139,0.14776,1.87432,1.95802,0.02394,0.18693,0.000910273,0.000910273,0.000910273
57,192.703,1.49447,1.56813,0.01976,0.09761,0.77487,0.24059,0.24768,0.13928,1.72823,1.85573,0.02224,0.10862,0.000900842,0.000900842,0.000900842
58,196.385,1.50872,1.53135,0.02117,0.08772,0.79253,0.24319,0.27032,0.16723,1.59827,1.79838,0.02268,0.083,0.00089141,0.00089141,0.00089141
59,200.339,1.47223,1.54063,0.02108,0.08534,0.78455,0.2457,0.25034,0.12504,2.01361,1.9858,0.02329,0.10863,0.000881979,0.000881979,0.000881979
60,203.743,1.50602,1.50623,0.02185,0.09696,0.80973,0.2344,0.26009,0.15631,1.78433,2.03645,0.02341,0.11016,0.000872547,0.000872547,0.000872547
61,207.063,1.48518,1.54263,0.01942,0.08771,0.77779,0.2457,0.24423,0.13736,1.75721,1.95776,0.02297,0.08837,0.000863116,0.000863116,0.000863116
62,210.376,1.49848,1.53582,0.01969,0.0943,0.76266,0.2371,0.24069,0.13866,1.91179,1.9587,0.02378,0.09178,0.000853685,0.000853685,0.000853685
63,213.808,1.47887,1.4919,0.02192,0.09211,0.78466,0.2358,0.25383,0.15095,1.77561,1.92702,0.02364,0.08816,0.000844253,0.000844253,0.000844253
64,217.088,1.46183,1.53324,0.02044,0.08805,0.7975,0.23759,0.27238,0.17652,1.60055,1.76869,0.02247,0.08917,0.000834822,0.000834822,0.000834822
65,220.478,1.46376,1.49443,0.01902,0.08771,0.82714,0.21714,0.25824,0.14668,1.90278,1.95552,0.02317,0.07652,0.00082539,0.00082539,0.00082539
66,223.778,1.46493,1.44674,0.02048,0.09393,0.7983,0.24601,0.26979,0.15166,1.81601,1.805,0.0229,0.09724,0.000815959,0.000815959,0.000815959
67,227.646,1.46169,1.49348,0.02153,0.08155,0.79901,0.25307,0.27992,0.17374,1.71953,1.71727,0.02211,0.11469,0.000806528,0.000806528,0.000806528
68,230.961,1.39481,1.4329,0.02112,0.08337,0.79994,0.25564,0.2807,0.17316,1.66827,1.69234,0.02228,0.09572,0.000797096,0.000797096,0.000797096
69,234.606,1.43509,1.40013,0.02033,0.07857,0.79587,0.23661,0.25882,0.14678,1.90468,1.81278,0.02369,0.09252,0.000787665,0.000787665,0.000787665
70,238.14,1.41764,1.40119,0.02017,0.08155,0.28531,0.24848,0.26489,0.1682,1.65021,1.77434,0.02259,0.08898,0.000778233,0.000778233,0.000778233
71,241.61,1.40451,1.43938,0.0212,0.07684,0.80499,0.26904,0.28989,0.1911,1.55772,1.73461,0.02367,0.08268,0.000768802,0.000768802,0.000768802
72,245.045,1.38583,1.31323,0.02162,0.07899,0.78959,0.26207,0.28086,0.17254,1.69907,1.74747,0.02416,0.09005,0.000759371,0.000759371,0.000759371
73,248.725,1.40621,1.41954,0.02193,0.07379,0.32185,0.27813,0.3047,0.19929,1.50917,1.67921,0.02312,0.09234,0.000749939,0.000749939,0.000749939
74,252.543,1.36425,1.39739,0.02004,0.08616,0.83761,0.23563,0.2815,0.15896,1.84328,1.82632,0.02234,0.15649,0.000740508,0.000740508,0.000740508
75,256.442,1.39786,1.33415,0.02178,0.08036,0.82235,0.23763,0.27262,0.17791,1.71129,2.0393,0.02381,0.11584,0.000731076,0.000731076,0.000731076
76,260.15,1.41336,1.40946,0.02229,0.07594,0.83726,0.24152,0.28009,0.17385,1.69969,1.8521,0.02327,0.08903,0.000721645,0.000721645,0.000721645
77,263.781,1.34904,1.3253,0.02165,0.07847,0.81936,0.25725,0.28413,0.17001,1.71477,1.75905,0.0234,0.08221,0.000712214,0.000712214,0.000712214
78,267.75,1.35199,1.30248,0.02061,0.07137,0.36239,0.22322,0.2843,0.172,1.73124,1.77624,0.02286,0.09221,0.000702782,0.000702782,0.000702782
79,271.431,1.3191,1.32002,0.02213,0.08156,0.82057,0.26904,0.2922,0.18011,1.63003,1.70054,0.02297,0.07464,0.000693351,0.000693351,0.000693351
80,274.897,1.33115,1.28833,0.02146,0.0723,0.81988,0.25351,0.29052,0.16191,1.79202,1.69696,0.02302,0.08204,0.000683919,0.000683919,0.000683919
81,278.104,1.35329,1.26821,0.02203,0.07587,0.28831,0.25774,0.28996,0.18622,1.58416,1.68641,0.02285,0.08361,0.000674488,0.000674488,0.000674488
82,281.38,1.31711,1.28588,0.0216,0.07386,0.31789,0.26635,0.29925,0.17236,1.76611,1.60736,0.02277,0.09426,0.000665057,0.000665057,0.000665057
83,284.649,1.38006,1.27246,0.0221,0.07417,0.7847,0.27357,0.29488,0.17062,1.76887,1.61544,0.02326,0.10246,0.000655625,0.000655625,0.000655625
84,287.909,1.30326,1.2465,0.02288,0.06723,0.81331,0.25725,0.28023,0.17212,1.70186,1.83109,0.02339,0.08903,0.000646194,0.000646194,0.000646194
85,291.272,1.27648,1.20032,0.02155,0.06497,0.83533,0.25553,0.29227,0.18853,1.65243,1.75172,0.02421,0.0853,0.000636762,0.000636762,0.000636762
86,294.436,1.29042,1.21092,0.02109,0.06924,0.33873,0.26388,0.30725,0.194,1.63974,1.62787,0.02203,0.08237,0.000627331,0.000627331,0.000627331
87,297.728,1.30375,1.24249,0.01997,0.07395,0.29296,0.29386,0.30837,0.19215,1.62969,1.56873,0.02337,0.08145,0.0006179,0.0006179,0.0006179
88,300.956,1.26315,1.17968,0.0196,0.073,0.31413,0.31446,0.31459,0.19455,1.6521,1.58405,0.02276,0.07665,0.000608468,0.000608468,0.000608468
89,304.608,1.26744,1.19274,0.02198,0.06402,0.32038,0.26167,0.30126,0.19996,1.5671,1.7028,0.02342,0.07936,0.000599037,0.000599037,0.000599037
90,308.098,1.29493,1.24068,0.02089,0.06911,0.33015,0.24865,0.29204,0.1577,1.82904,1.74487,0.02282,0.06871,0.000589605,0.000589605,0.000589605
91,311.935,1.28682,1.18439,0.02156,0.06741,0.32561,0.27754,0.29529,0.18522,1.62718,1.65757,0.02333,0.06619,0.000580174,0.000580174,0.000580174
92,315.463,1.27861,1.1839,0.01931,0.06262,0.33994,0.27518,0.29935,0.17097,1.80324,1.69521,0.02457,0.07376,0.000570743,0.000570743,0.000570743
93,319.167,1.23778,1.17069,0.02114,0.06292,0.30155,0.27179,0.28493,0.16428,1.85483,1.77426,0.02441,0.0744,0.000561311,0.000561311,0.000561311
94,322.39,1.26079,1.19524,0.01974,0.06402,0.31916,0.27445,0.29749,0.19058,1.63901,1.59783,0.02351,0.07817,0.00055188,0.00055188,0.00055188
95,325.826,1.23737,1.17495,0.02149,0.06844,0.31973,0.26388,0.28686,0.16165,1.86414,1.761,0.02351,0.07144,0.000542448,0.000542448,0.000542448
