epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,95.9386,1.80718,2.64921,0.01658,0.163,0.34129,0.38683,0.33946,0.16957,1.92529,1.97168,0.01593,0.15184,0.00998039,0.0033268,0.00998039,0.0033268,0.00998039,0.0033268,0.00998039,0.0033268
2,168.024,1.38621,1.46392,0.0149,0.13342,0.49786,0.54802,0.51075,0.34166,1.38297,1.30714,0.01424,0.10955,0.0198485,0.00661617,0.0198485,0.00661617,0.0198485,0.00661617,0.0198485,0.00661617
3,233.907,1.32644,1.33615,0.0156,0.13346,0.43577,0.49798,0.46921,0.25637,1.74857,1.46042,0.01748,0.12559,0.0295847,0.00986155,0.0295847,0.00986155,0.0295847,0.00986155,0.0295847,0.00986155
4,299.856,1.28511,1.28037,0.01575,0.12881,0.43825,0.49037,0.45317,0.22095,1.87971,1.52839,0.01863,0.11871,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,365.795,1.25364,1.22903,0.01455,0.12629,0.46711,0.47224,0.49275,0.2729,1.72498,1.3907,0.01799,0.10914,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,429.707,1.2283,1.20073,0.01507,0.11961,0.3996,0.47817,0.45237,0.21256,1.93911,1.5517,0.01777,0.11796,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,495.671,1.20926,1.1639,0.01604,0.11729,0.53168,0.59481,0.57525,0.39012,1.31337,1.05889,0.02066,0.10945,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,559.753,1.18794,1.12631,0.01645,0.11576,0.46954,0.52527,0.48794,0.25011,1.82981,1.37151,0.02315,0.12019,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,624.589,1.16895,1.09708,0.01672,0.11079,0.48634,0.56078,0.53985,0.29397,1.71269,1.29103,0.01601,0.09896,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,687.981,1.15701,1.08086,0.01569,0.10903,0.56979,0.61412,0.59265,0.39769,1.28919,1.01535,0.01934,0.0915,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
