epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
13,58.0362,2.46128,3.39002,0.02091,0.34237,0.04138,0.26265,0.05544,0.01454,2.24244,3.01508,0.02177,0.25733,0.00125923,0.00125923,0.00125923
14,62.1695,2.51446,3.3083,0.02019,0.35472,0.07613,0.11499,0.05041,0.01218,2.24727,2.9105,0.02324,0.21976,0.00124509,0.00124509,0.00124509
15,66.1264,2.43855,3.26148,0.02033,0.30715,0.04665,0.17617,0.0486,0.01526,2.3183,3.09283,0.02075,0.24411,0.00123094,0.00123094,0.00123094
16,70.2392,2.34707,3.20524,0.02043,0.30012,0.06944,0.10123,0.04051,0.01043,2.2422,3.0557,0.02256,0.24328,0.00121679,0.00121679,0.00121679
17,74.3699,2.35496,3.23799,0.02252,0.28868,0.08381,0.10172,0.04972,0.01361,2.18259,2.91349,0.02388,0.23024,0.00120265,0.00120265,0.00120265
18,78.3526,2.31356,3.06931,0.02162,0.28856,0.09498,0.10123,0.06473,0.01966,2.30852,2.92048,0.01976,0.27061,0.0011885,0.0011885,0.0011885
19,82.4481,2.27007,2.89699,0.02155,0.28779,0.04315,0.30295,0.07188,0.02285,2.16048,2.88149,0.01997,0.25641,0.00117435,0.00117435,0.00117435
20,86.4531,2.28303,2.85368,0.02027,0.27875,0.12452,0.0828,0.08796,0.03339,2.1146,2.75658,0.02084,0.20104,0.00116021,0.00116021,0.00116021
21,90.6107,2.34911,2.79859,0.02053,0.29018,0.08714,0.18845,0.10002,0.03958,2.21421,3.04062,0.01837,0.26418,0.00114606,0.00114606,0.00114606
22,94.6392,2.33077,2.77873,0.02128,0.29217,0.14595,0.11302,0.10172,0.04086,2.04923,2.64224,0.01991,0.20235,0.00113191,0.00113191,0.00113191
23,98.6693,2.29514,2.73925,0.02102,0.29419,0.13522,0.11941,0.08686,0.02671,2.1063,2.7117,0.02014,0.22802,0.00111776,0.00111776,0.00111776
24,102.691,2.24571,2.62555,0.02179,0.2662,0.13656,0.12039,0.10308,0.03581,2.09748,2.66867,0.02038,0.24388,0.00110362,0.00110362,0.00110362
25,106.662,2.21553,2.62161,0.02129,0.28652,0.13535,0.11007,0.08853,0.03199,2.14174,2.81048,0.0201,0.22019,0.00108947,0.00108947,0.00108947
26,111.302,2.2724,2.63417,0.02043,0.27172,0.65973,0.12383,0.10767,0.03887,2.11309,2.65863,0.02189,0.19482,0.00107532,0.00107532,0.00107532
27,115.277,2.23818,2.49752,0.02076,0.27117,0.65117,0.12875,0.10363,0.03868,2.12827,2.73841,0.02156,0.20794,0.00106118,0.00106118,0.00106118
28,119.92,2.15046,2.5588,0.02206,0.26659,0.6388,0.13882,0.10217,0.03857,2.07169,2.64764,0.02036,0.23004,0.00104703,0.00104703,0.00104703
29,124.112,2.19283,2.52632,0.02116,0.25855,0.66989,0.15233,0.12403,0.04144,2.16519,2.60244,0.01979,0.22716,0.00103288,0.00103288,0.00103288
30,128.223,2.14145,2.44993,0.0211,0.26138,0.66367,0.13317,0.10789,0.03361,2.19427,2.68999,0.01886,0.23239,0.00101873,0.00101873,0.00101873
31,132.278,2.1701,2.46003,0.02055,0.26104,0.64054,0.14619,0.10355,0.0337,2.1686,2.69363,0.01924,0.22543,0.00100459,0.00100459,0.00100459
32,136.269,2.13713,2.46242,0.02156,0.22766,0.65562,0.15823,0.12144,0.04115,2.04216,2.74227,0.0212,0.18741,0.00099044,0.00099044,0.00099044
33,140.415,2.05693,2.36296,0.02199,0.21596,0.65584,0.15012,0.15139,0.05853,2.12179,2.57258,0.02073,0.17366,0.000976293,0.000976293,0.000976293
34,144.58,2.10023,2.38519,0.02019,0.2417,0.66641,0.15627,0.12037,0.04878,2.08051,2.82901,0.01958,0.17818,0.000962146,0.000962146,0.000962146
35,148.636,2.06987,2.24235,0.019,0.23475,0.64991,0.1656,0.10437,0.03351,2.19733,2.84604,0.02061,0.20747,0.000947999,0.000947999,0.000947999
36,152.728,2.05933,2.29056,0.02055,0.23245,0.65607,0.17346,0.13851,0.05556,1.97458,2.58222,0.02127,0.16767,0.000933851,0.000933851,0.000933851
37,156.8,1.98841,2.2405,0.02086,0.2107,0.68302,0.15897,0.13455,0.04815,2.17424,2.68397,0.02057,0.19376,0.000919704,0.000919704,0.000919704
38,160.838,2.04465,2.25148,0.01982,0.20224,0.65485,0.15823,0.11478,0.04271,2.15176,2.64465,0.02087,0.2324,0.000905557,0.000905557,0.000905557
39,164.866,1.99789,2.17125,0.01942,0.20984,0.66874,0.15528,0.12557,0.04215,2.19737,2.75451,0.01975,0.20639,0.00089141,0.00089141,0.00089141
40,168.856,1.98945,2.14388,0.02115,0.204,0.65655,0.14152,0.11147,0.03725,2.30998,2.86116,0.02103,0.2232,0.000877263,0.000877263,0.000877263
41,172.862,2.02388,2.21788,0.02062,0.19969,0.66336,0.16143,0.11935,0.04232,2.29666,2.72686,0.02137,0.21952,0.000863116,0.000863116,0.000863116
42,176.971,1.99428,2.16107,0.01921,0.19821,0.67111,0.15749,0.12063,0.03748,2.31504,2.74076,0.01999,0.22727,0.000848969,0.000848969,0.000848969
43,180.943,1.95084,2.12573,0.02051,0.19249,0.66173,0.16317,0.1125,0.03737,2.37814,2.83259,0.02105,0.22693,0.000834822,0.000834822,0.000834822
44,184.938,1.93854,2.06867,0.02054,0.1892,0.69106,0.1828,0.1557,0.06341,2.07432,2.57,0.02019,0.19494,0.000820675,0.000820675,0.000820675
45,189.072,1.92586,2.05371,0.0202,0.18078,0.66842,0.16069,0.12189,0.03672,2.33394,2.91728,0.02193,0.20212,0.000806528,0.000806528,0.000806528
46,193.179,1.88257,2.06983,0.01987,0.18229,0.19351,0.16437,0.1525,0.06294,2.10788,2.64777,0.02094,0.16938,0.00079238,0.00079238,0.00079238
47,197.186,1.93438,2.07127,0.02068,0.1881,0.15311,0.15184,0.11491,0.03643,2.37791,2.83264,0.02136,0.19003,0.000778233,0.000778233,0.000778233
48,201.227,1.92363,2.03468,0.02066,0.18484,0.1897,0.16634,0.14179,0.05103,2.30347,2.75284,0.02145,0.19946,0.000764086,0.000764086,0.000764086
49,205.231,1.85989,1.95091,0.02015,0.16628,0.16325,0.14005,0.11031,0.0375,2.42629,2.93468,0.02137,0.2293,0.000749939,0.000749939,0.000749939
50,209.347,1.91557,2.07961,0.0223,0.18122,0.17268,0.14619,0.11873,0.04275,2.34203,2.78829,0.0215,0.22986,0.000735792,0.000735792,0.000735792
51,213.338,1.82202,1.97017,0.0201,0.17066,0.19087,0.1828,0.16426,0.06376,2.16326,2.45594,0.02068,0.15055,0.000721645,0.000721645,0.000721645
52,217.448,1.87141,1.95523,0.02008,0.16334,0.13193,0.15405,0.0956,0.02634,2.56939,3.02705,0.02233,0.22416,0.000707498,0.000707498,0.000707498
53,221.478,1.83752,1.94467,0.02016,0.16915,0.18404,0.15651,0.12495,0.04311,2.36298,2.86346,0.02112,0.21718,0.000693351,0.000693351,0.000693351
54,225.496,1.76371,1.96242,0.02062,0.15758,0.16123,0.16511,0.11608,0.0373,2.42727,2.95342,0.02181,0.1851,0.000679204,0.000679204,0.000679204
55,229.594,1.8102,1.88891,0.0201,0.15886,0.19408,0.17273,0.14959,0.05848,2.15789,2.60309,0.02257,0.16627,0.000665057,0.000665057,0.000665057
56,233.64,1.79627,1.8663,0.02094,0.16539,0.17889,0.16781,0.12931,0.03878,2.52222,2.69347,0.02179,0.20742,0.000650909,0.000650909,0.000650909
57,237.667,1.77132,1.87469,0.02017,0.15774,0.16625,0.16683,0.12933,0.04393,2.39516,2.84496,0.02354,0.19222,0.000636762,0.000636762,0.000636762
58,241.778,1.7861,1.8921,0.02037,0.15337,0.1894,0.15848,0.13241,0.0361,2.50894,2.83535,0.02127,0.21138,0.000622615,0.000622615,0.000622615
59,245.836,1.76654,1.85771,0.01922,0.15983,0.19126,0.13759,0.11123,0.0344,2.46236,3.07073,0.02124,0.20723,0.000608468,0.000608468,0.000608468
60,249.83,1.72172,1.86852,0.01943,0.13971,0.19453,0.16192,0.13956,0.0453,2.40441,2.91151,0.02144,0.20365,0.000594321,0.000594321,0.000594321
61,253.849,1.78145,1.84802,0.01975,0.16759,0.18927,0.15405,0.13591,0.04522,2.39018,2.86337,0.02171,0.17546,0.000580174,0.000580174,0.000580174
62,257.866,1.71778,1.79408,0.01975,0.14786,0.18707,0.13636,0.1271,0.04084,2.43373,3.01826,0.02105,0.22295,0.000566027,0.000566027,0.000566027
63,261.961,1.72694,1.8286,0.01976,0.14551,0.17974,0.16978,0.12908,0.04017,2.46719,2.85269,0.02255,0.19463,0.00055188,0.00055188,0.00055188
64,266.017,1.69278,1.82726,0.01977,0.14622,0.18825,0.16067,0.13193,0.04868,2.31303,2.92399,0.02225,0.18522,0.000537733,0.000537733,0.000537733
65,270.056,1.70179,1.73236,0.0191,0.1446,0.1442,0.17469,0.11616,0.03311,2.5305,3.07601,0.02227,0.18338,0.000523586,0.000523586,0.000523586
66,274.063,1.65989,1.74044,0.01953,0.12553,0.16201,0.16093,0.11841,0.03563,2.50182,2.91413,0.02234,0.19074,0.000509438,0.000509438,0.000509438
67,278.198,1.66586,1.62822,0.01929,0.14027,0.18094,0.15897,0.13783,0.04872,2.39848,2.81991,0.02229,0.16427,0.000495291,0.000495291,0.000495291
68,282.195,1.70129,1.80138,0.01878,0.14586,0.20046,0.1688,0.14997,0.04837,2.43822,2.80913,0.02171,0.16557,0.000481144,0.000481144,0.000481144
69,286.167,1.76845,1.73619,0.01825,0.15934,0.20165,0.16364,0.15168,0.04903,2.28664,2.74036,0.02206,0.18371,0.000466997,0.000466997,0.000466997
70,290.191,1.68941,1.68998,0.01988,0.1274,0.20623,0.15381,0.14264,0.04673,2.35001,2.89788,0.02221,0.17661,0.00045285,0.00045285,0.00045285
71,294.428,1.61337,1.67271,0.01925,0.1279,0.22166,0.17322,0.17285,0.07635,2.09464,2.66582,0.02122,0.16543,0.000438703,0.000438703,0.000438703
72,299.307,1.64926,1.72283,0.0185,0.12987,0.22244,0.1759,0.16042,0.05093,2.4012,2.69253,0.02134,0.19249,0.000424556,0.000424556,0.000424556
73,303.664,1.65465,1.73167,0.0192,0.12762,0.22533,0.18342,0.17952,0.0743,2.15337,2.52634,0.02149,0.17044,0.000410409,0.000410409,0.000410409
74,307.658,1.63747,1.7006,0.01919,0.13474,0.18915,0.15479,0.13622,0.04536,2.38271,2.96397,0.02249,0.17273,0.000396262,0.000396262,0.000396262
75,311.817,1.60373,1.68987,0.01956,0.13141,0.18542,0.15409,0.13122,0.04146,2.42418,3.05458,0.02162,0.18108,0.000382115,0.000382115,0.000382115
76,315.825,1.66117,1.69644,0.02035,0.1383,0.20022,0.17076,0.15296,0.05969,2.24933,2.75913,0.0215,0.16733,0.000367967,0.000367967,0.000367967
77,319.837,1.6354,1.65023,0.01908,0.13189,0.18443,0.143,0.1206,0.03578,2.50271,3.01923,0.02217,0.18379,0.00035382,0.00035382,0.00035382
78,323.855,1.58984,1.63294,0.01926,0.11283,0.20493,0.17592,0.16163,0.06102,2.23207,2.74388,0.02145,0.17776,0.000339673,0.000339673,0.000339673
79,327.999,1.60185,1.59818,0.01988,0.11953,0.19796,0.18231,0.15577,0.05909,2.26531,2.7189,0.022,0.17057,0.000325526,0.000325526,0.000325526
80,332.026,1.60329,1.6334,0.02029,0.12347,0.1871,0.17101,0.14427,0.04693,2.40777,2.74902,0.0224,0.17112,0.000311379,0.000311379,0.000311379
81,336.076,1.55442,1.58287,0.01966,0.11738,0.20398,0.16978,0.14819,0.05003,2.33662,2.82932,0.02215,0.17055,0.000297232,0.000297232,0.000297232
82,340.051,1.6277,1.63911,0.0198,0.12729,0.20819,0.17002,0.15121,0.05415,2.28785,2.74954,0.02223,0.16547,0.000283085,0.000283085,0.000283085
83,344.058,1.57625,1.64047,0.01857,0.11696,0.20756,0.17369,0.15636,0.05351,2.3212,2.75864,0.0223,0.1602,0.000268938,0.000268938,0.000268938
84,348.207,1.53223,1.54007,0.01916,0.1172,0.2045,0.17101,0.1503,0.0494,2.40009,2.72948,0.02256,0.16953,0.000254791,0.000254791,0.000254791
85,352.221,1.56759,1.55932,0.01887,0.12691,0.21694,0.1941,0.17711,0.06514,2.24576,2.47824,0.02224,0.15678,0.000240644,0.000240644,0.000240644
86,356.22,1.51003,1.52573,0.01891,0.11181,0.21568,0.17838,0.16857,0.06202,2.24362,2.7066,0.02218,0.15937,0.000226497,0.000226497,0.000226497
87,360.207,1.54732,1.56967,0.01839,0.11757,0.21792,0.1688,0.16179,0.06165,2.28575,2.80801,0.02211,0.16661,0.000212349,0.000212349,0.000212349
88,364.272,1.56965,1.67927,0.01918,0.12885,0.20994,0.16757,0.15234,0.05436,2.36686,2.82241,0.02229,0.1693,0.000198202,0.000198202,0.000198202
89,368.276,1.52716,1.54764,0.01827,0.1123,0.22215,0.18093,0.17019,0.06428,2.24865,2.65654,0.02237,0.17083,0.000184055,0.000184055,0.000184055
90,372.315,1.52717,1.56243,0.02029,0.11595,0.19784,0.15528,0.14028,0.04797,2.37428,2.99808,0.02245,0.18358,0.000169908,0.000169908,0.000169908
91,377.232,1.78097,2.28117,0.02042,0.13096,0.13302,0.08428,0.06408,0.01979,2.63615,4.14317,0.02179,0.30322,0.000155761,0.000155761,0.000155761
92,381.269,1.65004,1.96445,0.0192,0.13019,0.24915,0.20442,0.19592,0.10189,1.83376,2.22106,0.02212,0.15476,0.000141614,0.000141614,0.000141614
93,385.179,1.58106,1.76035,0.01935,0.12194,0.23822,0.27929,0.21522,0.11679,1.65504,1.94385,0.02293,0.145,0.000127467,0.000127467,0.000127467
94,389.419,1.64487,1.78799,0.02124,0.11122,0.24541,0.29064,0.21811,0.1171,1.63776,1.91099,0.02296,0.14047,0.00011332,0.00011332,0.00011332
95,393.49,1.63143,1.67764,0.02169,0.10826,0.25031,0.24568,0.21549,0.11917,1.66767,1.99513,0.02265,0.13592,9.91726e-05,9.91726e-05,9.91726e-05
96,397.366,1.56285,1.64204,0.01868,0.10368,0.24952,0.21155,0.20691,0.11584,1.70637,2.15228,0.0224,0.13691,8.50255e-05,8.50255e-05,8.50255e-05
97,401.303,1.58761,1.69048,0.02085,0.11255,0.24447,0.20121,0.19241,0.10819,1.71478,2.39977,0.02228,0.13389,7.08784e-05,7.08784e-05,7.08784e-05
98,405.112,1.53073,1.65312,0.02047,0.10622,0.24012,0.20295,0.19055,0.10745,1.71081,2.41948,0.02212,0.13253,5.67313e-05,5.67313e-05,5.67313e-05
99,409.164,1.52807,1.57221,0.01982,0.1068,0.233,0.19189,0.17559,0.09841,1.75951,2.63772,0.022,0.13815,4.25842e-05,4.25842e-05,4.25842e-05
100,413.115,1.56347,1.71087,0.0201,0.13511,0.21899,0.17224,0.15579,0.08397,1.84915,2.90738,0.0221,0.15207,2.84371e-05,2.84371e-05,2.84371e-05
