epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.92041,2.87312,7.03108,0.02061,0.42898,0,0,0,0,2.3649,4.66378,0.01795,0.10461,0.000464425,0.000464425,0.000464425
2,12.7627,2.78683,6.36045,0.01964,0.43595,0,0,0,0,2.35616,4.70495,0.01834,0.08414,0.000931445,0.000931445,0.000931445
3,16.7883,2.74393,5.96708,0.02064,0.40496,0,0,0,0,2.36359,4.76686,0.01795,0.08579,0.00138903,0.00138903,0.00138903
4,20.725,2.67811,5.59146,0.02087,0.42346,0,0,0,0,2.40213,4.0111,0.01758,0.1339,0.00138656,0.00138656,0.00138656
5,24.7743,2.67618,5.30799,0.02136,0.41476,0.00114,0.00147,0.00057,0.00017,2.45875,3.82409,0.02291,0.32185,0.00137241,0.00137241,0.00137241
6,29.3062,2.66211,4.90239,0.01951,0.42088,0.00364,0.11622,0.00226,0.00067,nan,nan,nan,nan,0.00135826,0.00135826,0.00135826
7,33.6129,2.57087,4.92525,0.01959,0.39819,0.00838,0.21425,0.0071,0.00182,2.48313,3.95126,0.02514,0.37778,0.00134412,0.00134412,0.00134412
8,37.7784,2.62956,4.53221,0.02127,0.38715,0.01848,0.14201,0.01587,0.00353,2.44158,3.43653,0.02729,0.31822,0.00132997,0.00132997,0.00132997
9,41.7835,2.5853,4.33788,0.02088,0.37211,0.01441,0.1516,0.01004,0.00237,nan,nan,nan,nan,0.00131582,0.00131582,0.00131582
10,45.7405,2.5741,3.98573,0.02045,0.35847,0.04335,0.08993,0.02728,0.0067,2.44634,3.33575,0.02009,0.37642,0.00130168,0.00130168,0.00130168
11,49.8115,2.49031,3.84466,0.01986,0.36262,0.05238,0.08722,0.03432,0.0073,nan,nan,nan,nan,0.00128753,0.00128753,0.00128753
12,53.946,2.51706,3.69118,0.02046,0.36624,0.07594,0.08059,0.03859,0.00983,2.30089,3.03312,0.02272,0.27861,0.00127338,0.00127338,0.00127338
