epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,88.1658,1.57035,2.54134,0.01981,0.08249,0.30722,0.2654,0.27948,0.14646,1.7603,1.52791,0.02048,0.05138,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623
2,152.483,1.16015,1.15552,0.01889,0.0492,0.41278,0.38949,0.40355,0.27601,1.16599,0.91672,0.01794,0.02763,0.0198468,0.00661561,0.0198468,0.00661561,0.0198468,0.00661561,0.0198468,0.00661561
3,210.225,1.11176,1.05302,0.01908,0.04835,0.43629,0.46733,0.42977,0.26489,1.33506,1.07877,0.01919,0.04725,0.029583,0.00986099,0.029583,0.00986099,0.029583,0.00986099,0.029583,0.00986099
4,266.179,1.10785,1.01174,0.0174,0.05059,0.24538,0.28834,0.20728,0.09354,1.84355,1.90611,0.02206,0.03799,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,322.314,1.04234,0.92937,0.01911,0.04316,0.42482,0.54461,0.39929,0.23295,1.39798,1.1429,0.02102,0.02093,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,378.505,1.02929,0.91214,0.02081,0.04282,0.3105,0.35868,0.28939,0.13452,1.75826,1.56334,0.02125,0.02393,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,434.296,1.00166,0.87176,0.0201,0.04077,0.36656,0.5443,0.37178,0.19855,1.49617,1.24758,0.02217,0.04602,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,490.347,0.98629,0.84358,0.01978,0.03784,0.32037,0.50694,0.31704,0.15079,1.73931,1.5256,0.02252,0.02339,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,546.483,0.98407,0.84139,0.01853,0.04078,0.46017,0.63325,0.47475,0.29285,1.35629,0.88357,0.0149,0.02368,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,602.691,0.96726,0.81942,0.01784,0.03831,0.26704,0.48066,0.25289,0.11125,1.82041,1.8377,0.0226,0.03638,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,658.853,0.94959,0.79441,0.01804,0.03585,0.36566,0.57967,0.36703,0.19531,1.50458,1.31848,0.01886,0.01826,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,729.338,0.95234,0.79383,0.01826,0.03562,0.43689,0.56542,0.43893,0.26921,1.22434,0.983,0.01988,0.02123,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,792.326,0.93795,0.76475,0.01907,0.03418,0.36486,0.52395,0.36801,0.20792,1.35013,1.25756,0.02231,0.0168,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,854.668,0.94123,0.77154,0.01829,0.03512,0.57673,0.57984,0.5707,0.31273,1.23306,0.84758,0.02208,0.02133,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,916.799,0.92695,0.76726,0.01893,0.03438,0.54687,0.5818,0.56376,0.33538,1.18148,0.74322,0.02231,0.01763,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,979.394,0.92159,0.74582,0.01798,0.03372,0.5942,0.63555,0.58702,0.42315,0.96368,0.63814,0.01738,0.01292,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1041.53,0.91325,0.74308,0.01856,0.03267,0.56718,0.59023,0.56068,0.32278,1.22671,0.71823,0.01929,0.01513,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1103.18,0.89337,0.6994,0.01832,0.0307,0.4172,0.54383,0.42789,0.25442,1.34613,1.03571,0.02155,0.01489,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1164.88,0.91649,0.71734,0.0166,0.03511,0.53977,0.45687,0.46339,0.25344,1.42224,1.12433,0.02059,0.02615,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1227.29,0.91911,0.7225,0.01989,0.03584,0.55541,0.59675,0.59494,0.40182,1.08428,0.68477,0.02452,0.01766,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1289.6,0.90087,0.71163,0.01897,0.03202,0.40611,0.48804,0.3855,0.21134,1.44592,1.36632,0.02159,0.01983,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1350.89,0.88165,0.68779,0.01912,0.03087,0.32752,0.43622,0.34231,0.15998,1.57516,1.57487,0.01896,0.01587,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1413.3,0.8941,0.69347,0.01791,0.03162,0.6034,0.64723,0.59695,0.38156,1.05841,0.64384,0.0166,0.01397,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1475.37,0.88166,0.69026,0.01851,0.03072,0.48203,0.55241,0.47538,0.30873,1.3073,0.95179,0.02045,0.01557,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,1537.33,0.88467,0.68497,0.01707,0.03075,0.39578,0.53044,0.39358,0.20973,1.37354,1.25924,0.01745,0.01576,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,1599.17,0.88925,0.68228,0.01677,0.03315,0.47861,0.56984,0.47813,0.27689,1.3145,0.92401,0.016,0.01872,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,1661.16,0.86199,0.65906,0.01706,0.0288,0.36424,0.40823,0.3776,0.20305,1.48606,1.22879,0.02134,0.0186,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,1722.95,0.87057,0.66709,0.01606,0.03043,0.53506,0.61081,0.55421,0.37024,1.0755,0.67912,0.01827,0.01295,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,1784.72,0.87039,0.65658,0.01606,0.0318,0.53414,0.62476,0.58136,0.39128,1.03928,0.64207,0.01694,0.01502,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,1846.31,0.85462,0.64535,0.01681,0.02967,0.57745,0.52756,0.53767,0.31933,1.24424,0.91967,0.01689,0.01332,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,1909.12,0.86816,0.65184,0.01558,0.03017,0.38587,0.47761,0.3669,0.1779,1.54067,1.43006,0.01841,0.0183,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,1971.16,0.87152,0.65688,0.01688,0.03082,0.46337,0.61403,0.47968,0.28677,1.30845,1.051,0.02022,0.02018,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2033.25,0.85131,0.63895,0.01721,0.02982,0.56898,0.49064,0.51544,0.26863,1.43397,1.18716,0.02117,0.01793,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2095.44,0.84729,0.62952,0.01629,0.02856,0.5177,0.55241,0.51069,0.29928,1.30397,0.98637,0.01917,0.01639,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2157.56,0.8532,0.6325,0.01716,0.02993,0.54229,0.53022,0.52084,0.3016,1.25009,0.96191,0.01826,0.0158,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2219.54,0.85474,0.6263,0.01658,0.02944,0.41599,0.53239,0.44471,0.27523,1.24311,0.9778,0.01739,0.01493,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,2281.73,0.85009,0.63195,0.01616,0.02927,0.52126,0.53027,0.47877,0.24682,1.49232,1.18236,0.0179,0.01595,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,2344.16,0.84349,0.6207,0.01606,0.02807,0.59225,0.67453,0.59732,0.38915,1.13628,0.78597,0.01901,0.01235,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,2406.32,0.84952,0.62842,0.01738,0.03022,0.44696,0.53742,0.42607,0.25034,1.40698,1.17322,0.02111,0.01899,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,2467.91,0.83449,0.6105,0.01704,0.0287,0.49641,0.61668,0.5008,0.31931,1.23874,0.94929,0.0207,0.01398,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,2530.08,0.83669,0.60381,0.01568,0.02905,0.44418,0.5759,0.41904,0.22883,1.44088,1.19607,0.01778,0.01473,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,2592.35,0.83636,0.61252,0.01629,0.03042,0.70402,0.71591,0.7499,0.48889,1.01359,0.61292,0.0173,0.01243,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,2654.85,0.83383,0.60642,0.01659,0.02914,0.58199,0.60189,0.58529,0.36171,1.22101,0.88165,0.01663,0.01293,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,2717.5,0.83716,0.60075,0.01617,0.02997,0.45798,0.50194,0.46455,0.26999,1.33424,1.03705,0.01938,0.01525,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,2779.16,0.85443,0.60921,0.01534,0.03199,0.59403,0.62979,0.62711,0.37432,1.17732,0.79823,0.01475,0.01238,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,2841.1,0.84471,0.61351,0.01762,0.03027,0.717,0.62946,0.67126,0.45239,1.06956,0.70839,0.01988,0.01289,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,2904.02,0.82611,0.60335,0.01857,0.0275,0.78542,0.62827,0.71128,0.44507,1.1244,0.74255,0.02024,0.01168,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,2965.98,0.83318,0.59475,0.01876,0.02938,0.56468,0.57309,0.52761,0.28676,1.44566,1.13871,0.0228,0.01559,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,3028.31,0.84829,0.603,0.01939,0.03128,0.55375,0.65009,0.56471,0.34709,1.24521,0.90269,0.01923,0.01372,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
