epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,103.048,1.56834,2.68834,0.0199,0.08286,0.35487,0.31456,0.3387,0.19418,1.54862,1.25636,0.01933,0.03928,0.00997283,0.00332428,0.00997283,0.00332428,0.00997283,0.00332428,0.00997283,0.00332428
2,170.414,1.20429,1.23951,0.01935,0.05874,0.38229,0.37201,0.3958,0.25862,1.33701,0.98494,0.02096,0.04643,0.019841,0.00661367,0.019841,0.00661367,0.019841,0.00661367,0.019841,0.00661367
3,232.798,1.14776,1.11213,0.01948,0.05465,0.42579,0.44938,0.41959,0.28129,1.18439,1.00726,0.0167,0.02366,0.0295772,0.00985906,0.0295772,0.00985906,0.0295772,0.00985906,0.0295772,0.00985906
4,293.468,1.12429,1.07371,0.01897,0.0545,0.36141,0.41435,0.41261,0.24652,1.48856,1.02324,0.01731,0.03352,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,354.417,1.08141,1.01525,0.01901,0.04948,0.4595,0.54791,0.47144,0.31892,1.10268,0.7805,0.01995,0.02124,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,414.905,1.08535,0.99839,0.01979,0.05265,0.3915,0.40154,0.41183,0.25569,1.44588,1.01607,0.02335,0.02929,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,474.129,1.0549,0.97083,0.02102,0.0493,0.43599,0.53983,0.47301,0.33855,1.07759,0.74945,0.02013,0.0229,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,533.533,1.04717,0.94236,0.02008,0.04829,0.421,0.40396,0.44379,0.33317,1.01737,0.74444,0.02155,0.03069,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,592.53,1.00773,0.88627,0.01933,0.04274,0.47506,0.55277,0.49006,0.3328,1.10188,0.75004,0.01783,0.0226,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,651.539,1.00686,0.89448,0.01798,0.0443,0.46304,0.56799,0.49493,0.37727,0.93833,0.70992,0.01573,0.02029,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,712.175,0.98815,0.85791,0.01853,0.04215,0.58541,0.54835,0.53328,0.38885,0.91083,0.68256,0.01823,0.02087,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
