epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,87.8612,1.8191,2.86916,0.01659,0.1646,0.37841,0.15413,0.12499,0.05444,2.14301,2.42119,0.01612,0.14874,0.00998039,0.0033268,0.00998039,0.0033268,0.00998039,0.0033268,0.00998039,0.0033268
2,153.396,1.39414,1.5639,0.01518,0.13547,0.25848,0.29372,0.23636,0.12715,1.7653,1.64636,0.01637,0.16271,0.0198485,0.00661617,0.0198485,0.00661617,0.0198485,0.00661617,0.0198485,0.00661617
3,213.715,1.31813,1.39308,0.01478,0.12936,0.30569,0.40955,0.30518,0.17917,1.57151,1.43067,0.01427,0.11195,0.0295847,0.00986155,0.0295847,0.00986155,0.0295847,0.00986155,0.0295847,0.00986155
4,272.434,1.28742,1.34749,0.01541,0.1287,0.31316,0.49982,0.32609,0.18343,1.61904,1.48247,0.01496,0.10761,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,331.258,1.24857,1.28064,0.01477,0.12377,0.32166,0.44592,0.33176,0.2061,1.44436,1.28014,0.01438,0.09639,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,389.994,1.21658,1.2371,0.01529,0.11437,0.263,0.4458,0.25923,0.12917,1.62386,1.67949,0.01564,0.09696,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,448.569,1.20306,1.20793,0.01532,0.11592,0.24375,0.41283,0.24503,0.12268,1.70468,1.68373,0.01479,0.1014,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,506.853,1.18338,1.1669,0.01429,0.11339,0.32292,0.51523,0.34402,0.19704,1.46669,1.31043,0.01393,0.10874,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,565.422,1.17355,1.14947,0.01491,0.11136,0.24647,0.422,0.25727,0.12047,1.89834,1.68024,0.01569,0.08788,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,623.69,1.15532,1.11743,0.0147,0.10673,0.35937,0.49762,0.37739,0.22424,1.44295,1.2422,0.01519,0.08288,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,681.991,1.15351,1.10618,0.01257,0.10859,0.30257,0.42383,0.30183,0.16549,1.64741,1.41455,0.01416,0.08192,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,740.595,1.1485,1.08952,0.01477,0.10408,0.38285,0.50169,0.37528,0.23775,1.36578,1.20209,0.01404,0.09146,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,799.327,1.13137,1.08107,0.0145,0.10082,0.36932,0.48441,0.37781,0.20305,1.51336,1.3418,0.01514,0.0825,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,857.781,1.1329,1.06983,0.01489,0.10314,0.3371,0.49894,0.34051,0.18633,1.54154,1.38289,0.01628,0.0754,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,915.929,1.11947,1.05054,0.01455,0.09679,0.34819,0.49237,0.33853,0.19065,1.53028,1.34328,0.0155,0.07142,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,974.39,1.12005,1.05013,0.01565,0.10106,0.41348,0.49013,0.42517,0.26374,1.38989,1.24764,0.01445,0.06836,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1033.17,1.13329,1.04242,0.01783,0.10327,0.37552,0.48167,0.37013,0.20844,1.47749,1.24909,0.01882,0.06997,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1092.16,1.10626,1.01905,0.01632,0.098,0.32032,0.45782,0.31009,0.1601,1.64183,1.43658,0.01858,0.07547,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1150.41,1.09144,1.00275,0.01637,0.09503,0.40614,0.51613,0.43665,0.25394,1.44661,1.28832,0.01801,0.07082,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1208.82,1.09652,1.00937,0.01615,0.0961,0.31648,0.48447,0.31598,0.17261,1.55271,1.53465,0.01863,0.07598,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1267.31,1.10604,1.01789,0.01604,0.09822,0.35299,0.47688,0.32564,0.1727,1.57657,1.47543,0.01929,0.07039,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1325.89,1.08499,0.99769,0.01602,0.09505,0.41363,0.47334,0.36857,0.19536,1.51084,1.37902,0.01724,0.06801,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1384.38,1.08234,0.98773,0.01514,0.0949,0.31126,0.47403,0.29569,0.16107,1.63219,1.53052,0.01756,0.07473,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1442.66,1.08036,0.97432,0.01591,0.09134,0.34353,0.47228,0.33538,0.1964,1.5095,1.34895,0.01558,0.06701,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,1500.68,1.07381,0.96447,0.01536,0.09125,0.38788,0.47246,0.38894,0.20146,1.59796,1.34749,0.01752,0.07818,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,1558.91,1.06264,0.96121,0.01508,0.09245,0.45546,0.5073,0.46281,0.24807,1.46508,1.2088,0.01667,0.06701,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
