epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,72.185,1.73195,1.93463,1.87663,0.1414,0.22345,0.29529,0.20428,0.10262,1.90536,1.71005,2.04373,0.11463,0.00998039,0.0033268,0.00998039,0.0033268,0.00998039,0.0033268,0.00998039,0.0033268
2,126.302,1.21971,1.14761,1.32712,0.09685,0.31357,0.39114,0.30719,0.17463,1.41545,1.2054,1.59029,0.08369,0.0198485,0.00661617,0.0198485,0.00661617,0.0198485,0.00661617,0.0198485,0.00661617
3,176.029,1.12846,1.04163,1.21536,0.08819,0.29995,0.38929,0.28419,0.14792,1.63522,1.26932,1.77211,0.09429,0.0295847,0.00986155,0.0295847,0.00986155,0.0295847,0.00986155,0.0295847,0.00986155
4,225.151,1.08532,0.99092,1.18681,0.08299,0.29692,0.46575,0.30965,0.18679,1.37572,1.18568,1.50281,0.07154,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,273.542,1.03707,0.92654,1.15685,0.07798,0.36194,0.49446,0.37283,0.23213,1.1957,0.95085,1.36977,0.06811,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,322.386,1.00738,0.89645,1.14012,0.07532,0.44756,0.44139,0.40522,0.22518,1.36067,1.05158,1.50464,0.06577,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,371.026,0.98543,0.86419,1.12655,0.07263,0.26617,0.53131,0.30555,0.17058,1.50209,1.2846,1.59171,0.07236,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,419.647,0.9672,0.84268,1.11564,0.07156,0.36043,0.57317,0.40975,0.26107,1.13847,0.92757,1.39034,0.06108,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,468.309,0.94922,0.8199,1.10661,0.06803,0.33437,0.49516,0.33851,0.17735,1.6242,1.1851,1.7035,0.06608,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,516.81,0.94414,0.81165,1.10614,0.06854,0.36509,0.49161,0.3882,0.23514,1.25992,1.07742,1.39768,0.06027,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,565.277,0.93012,0.79524,1.10043,0.06621,0.37198,0.50162,0.36478,0.1989,1.4466,1.12168,1.65263,0.06327,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,614.062,0.91831,0.77943,1.09008,0.06509,0.39527,0.54511,0.4498,0.28419,1.11007,0.86436,1.36292,0.05323,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,662.766,0.90918,0.76829,1.08583,0.06417,0.28781,0.47731,0.28382,0.13597,1.70623,1.34571,1.82306,0.0649,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,711.329,0.90218,0.76137,1.07991,0.06322,0.37244,0.38371,0.37604,0.20085,1.4393,1.20769,1.60351,0.06266,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,759.936,0.89009,0.74686,1.07846,0.0615,0.3623,0.52196,0.35428,0.2095,1.32175,1.20267,1.45492,0.0568,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,808.674,0.88828,0.74571,1.07526,0.06227,0.4089,0.50355,0.38562,0.21602,1.35575,0.99993,1.52372,0.0531,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,857.372,0.87751,0.73205,1.07128,0.06059,0.30451,0.46465,0.30063,0.16002,1.52158,1.26232,1.63813,0.05826,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1432.98,0.8662,0.7211,1.06638,0.06084,0.31976,0.47787,0.3264,0.17584,1.53599,1.21493,1.78059,0.06691,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1481.57,0.8606,0.71397,1.06435,0.05914,0.39981,0.52345,0.41685,0.2236,1.38666,1.09554,1.5559,0.05416,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1530.44,0.858,0.71282,1.06212,0.0598,0.46481,0.53408,0.48324,0.30486,1.07861,0.80999,1.34171,0.05092,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1579.25,0.85791,0.70932,1.05871,0.05956,0.42865,0.54683,0.43458,0.27513,1.13648,0.86989,1.38981,0.05072,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1627.9,0.84774,0.70037,1.05638,0.05903,0.45615,0.55483,0.47338,0.30089,1.13379,0.82414,1.39819,0.04812,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1676.52,0.84783,0.69965,1.05538,0.05938,0.3959,0.54322,0.37832,0.22692,1.27414,1.03605,1.4922,0.05001,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1725.34,0.83624,0.68608,1.04828,0.05732,0.42456,0.53835,0.45412,0.28084,1.21812,0.88782,1.43199,0.05205,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,1774.17,0.83485,0.68504,1.05038,0.05738,0.44552,0.53322,0.46283,0.28048,1.25058,0.94883,1.43195,0.04944,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,1823.01,0.83095,0.68081,1.04452,0.0575,0.4911,0.55356,0.50355,0.31989,1.12972,0.8265,1.41993,0.05075,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
