epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,74.5059,1.81998,2.40257,1.81915,0.16861,0.2769,0.08963,0.0635,0.03124,1.83711,1.84692,1.90001,0.13812,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687
2,130.417,1.32149,1.47366,1.32749,0.12536,0.44033,0.11102,0.06503,0.03156,1.74359,1.9211,1.72779,0.13534,0.0198487,0.00661625,0.0198487,0.00661625,0.0198487,0.00661625,0.0198487,0.00661625
3,182.868,1.23163,1.34681,1.23677,0.11785,0.46754,0.14375,0.09929,0.05193,1.39529,1.60582,1.45428,0.11999,0.0295849,0.00986163,0.0295849,0.00986163,0.0295849,0.00986163,0.0295849,0.00986163
4,234.192,1.18051,1.2622,1.21391,0.11002,0.43541,0.12062,0.06404,0.03096,1.76569,1.8841,1.70853,0.12798,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,285.049,1.13542,1.18459,1.18515,0.10178,0.45427,0.16785,0.09158,0.0534,1.33301,1.52427,1.54362,0.11118,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,336.175,1.10902,1.13172,1.16834,0.09943,0.53365,0.15901,0.11318,0.06558,1.2877,1.36655,1.42958,0.0993,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,387.21,1.0839,1.09078,1.1558,0.09597,0.36116,0.16774,0.10135,0.05727,1.32418,1.42732,1.46343,0.09502,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,651.821,1.058,1.04725,1.14042,0.09288,0.29637,0.16356,0.0881,0.04514,1.52681,1.68368,1.57628,0.10881,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,702.613,1.0512,1.03761,1.13773,0.09039,0.37062,0.20765,0.12682,0.07183,1.22288,1.36777,1.35578,0.09157,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,753.538,1.03059,1.00664,1.12711,0.08727,0.20957,0.15509,0.10523,0.05631,1.45379,1.49427,1.4857,0.09828,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,804.393,1.01617,0.98475,1.12236,0.08575,0.31114,0.15061,0.09707,0.05857,1.26035,1.38774,1.38325,0.08793,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,855.384,1.00934,0.96835,1.11263,0.08456,0.29665,0.15512,0.08773,0.05148,1.39231,1.76707,1.50167,0.10418,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,906.097,1.00188,0.9584,1.11153,0.08307,0.21358,0.19088,0.11395,0.06465,1.26997,1.3801,1.40441,0.09309,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,957.048,0.9862,0.93578,1.10342,0.08035,0.23479,0.18654,0.14068,0.08184,1.19717,1.30026,1.35951,0.08075,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1007.56,0.98601,0.93285,1.10618,0.08004,0.24717,0.15416,0.08979,0.04805,1.489,1.57848,1.52547,0.09214,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1058.22,0.97861,0.92293,1.09819,0.07905,0.23548,0.16602,0.11854,0.07013,1.34945,1.35637,1.48281,0.08425,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1108.7,0.96728,0.90224,1.09225,0.07591,0.15884,0.17851,0.10445,0.06023,1.33155,1.46499,1.48099,0.08172,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1159.45,0.96268,0.89334,1.09069,0.07548,0.21733,0.20331,0.11427,0.0695,1.2055,1.38506,1.35511,0.07603,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1210.31,0.95896,0.8908,1.08859,0.07648,0.28309,0.18036,0.13219,0.07936,1.19307,1.32646,1.39648,0.07722,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1260.97,0.95019,0.87463,1.08553,0.07287,0.20043,0.15419,0.08249,0.04496,1.5251,1.75961,1.59708,0.08825,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1311.7,0.94159,0.86305,1.08074,0.07214,0.17121,0.18385,0.12569,0.07772,1.15459,1.28971,1.3821,0.07512,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
