epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.88286,2.87312,7.03108,0.02061,0.42898,0,0,0,0,2.3649,4.66378,0.01795,0.10461,0.000464425,0.000464425,0.000464425
2,12.7224,2.78282,6.35727,0.01968,0.44539,0,0,0,0,2.35599,4.70532,0.01829,0.08056,0.000922131,0.000922131,0.000922131
3,16.8083,2.75178,5.96273,0.02061,0.40802,0,0,0,0,2.35845,4.76954,0.01816,0.01967,0.00136097,0.00136097,0.00136097
4,20.7733,2.68821,5.60007,0.01948,0.42618,0.5,0.00123,0.25061,0.07518,2.40267,4.13178,0.01795,0.07085,0.00134412,0.00134412,0.00134412
5,24.8044,2.68589,5.33323,0.01945,0.42575,0.02681,0.00418,0.01353,0.0031,2.53503,3.7215,0.02328,0.36443,0.00131582,0.00131582,0.00131582
6,28.9263,2.69265,4.93665,0.01996,0.42377,0.00791,0.0344,0.00427,0.00113,2.70925,3.8207,0.03049,0.38616,0.00128753,0.00128753,0.00128753
7,33.03,2.62243,4.95332,0.02001,0.42448,0.01279,0.10516,0.00862,0.00217,2.5244,3.58103,0.02304,0.42592,0.00125923,0.00125923,0.00125923
8,37.2272,2.60515,4.54253,0.01974,0.41031,0.0074,0.20663,0.0056,0.00134,2.56598,4.28376,0.02262,0.39777,0.00123094,0.00123094,0.00123094
9,41.3267,2.60744,4.33993,0.01876,0.4149,0.03618,0.1774,0.03857,0.0093,2.54234,3.10684,0.02287,0.41958,0.00120265,0.00120265,0.00120265
10,45.822,2.57057,3.93433,0.02083,0.38296,0.09146,0.07764,0.04639,0.01182,2.4907,2.89258,0.02465,0.39564,0.00117435,0.00117435,0.00117435
11,50.185,2.54983,3.88053,0.02106,0.35597,0.07041,0.0801,0.03935,0.00886,2.52911,2.9881,0.02403,0.34295,0.00114606,0.00114606,0.00114606
12,54.3762,2.50204,3.71363,0.02038,0.35406,0.09005,0.08256,0.04695,0.01169,2.58044,3.04967,0.02383,0.33997,0.00111776,0.00111776,0.00111776
13,58.5198,2.47822,3.41301,0.02088,0.3347,0.07129,0.0887,0.039,0.01073,2.46252,2.91313,0.02294,0.33444,0.00108947,0.00108947,0.00108947
14,62.5146,2.53141,3.33889,0.01877,0.36189,0.08697,0.13391,0.06715,0.01706,2.47626,2.80078,0.02159,0.39424,0.00106118,0.00106118,0.00106118
15,66.5139,2.49075,3.26735,0.01931,0.36027,0.10282,0.09484,0.0661,0.02172,2.4583,2.68512,0.02384,0.39505,0.00103288,0.00103288,0.00103288
16,70.5577,2.45838,3.13852,0.01896,0.34842,0.06672,0.16929,0.06719,0.02087,2.50146,2.79189,0.02262,0.42175,0.00100459,0.00100459,0.00100459
17,74.68,2.42665,3.10925,0.02004,0.32765,0.12183,0.1226,0.07879,0.02628,2.48392,2.72254,0.02413,0.48449,0.000976293,0.000976293,0.000976293
18,78.6336,2.41024,3.01459,0.01996,0.32194,0.09903,0.09779,0.06575,0.01821,2.42908,2.75933,0.02235,0.40109,0.000947999,0.000947999,0.000947999
19,82.6987,2.39458,2.81171,0.02072,0.33304,0.11964,0.13931,0.09541,0.02872,2.44856,2.56849,0.02387,0.40656,0.000919704,0.000919704,0.000919704
20,86.7524,2.39009,2.79227,0.02,0.32137,0.12459,0.17125,0.10978,0.03808,2.36723,2.65281,0.02443,0.39558,0.00089141,0.00089141,0.00089141
21,90.8921,2.31401,2.77791,0.02013,0.31374,0.15749,0.13365,0.11116,0.03901,2.38586,2.53761,0.0259,0.4384,0.000863116,0.000863116,0.000863116
22,95.0598,2.31536,2.75729,0.02065,0.28997,0.15772,0.15823,0.13557,0.04655,2.24739,2.34434,0.02692,0.33397,0.000834822,0.000834822,0.000834822
23,99.1309,2.29549,2.7315,0.02048,0.30303,0.16686,0.14029,0.12759,0.04519,2.35296,2.46746,0.02436,0.34546,0.000806528,0.000806528,0.000806528
24,103.246,2.28131,2.5928,0.02025,0.28018,0.13684,0.13686,0.10501,0.03624,2.25393,2.57974,0.02392,0.31274,0.000778233,0.000778233,0.000778233
25,107.353,2.21816,2.62185,0.01928,0.28998,0.19275,0.13518,0.13176,0.04839,2.25532,2.6384,0.02318,0.33209,0.000749939,0.000749939,0.000749939
26,111.367,2.19652,2.60654,0.01887,0.25577,0.65244,0.14349,0.12205,0.03798,2.27587,2.59701,0.02432,0.32071,0.000721645,0.000721645,0.000721645
27,115.46,2.23175,2.52802,0.01968,0.27795,0.63281,0.13784,0.11123,0.03287,2.35199,2.66855,0.02291,0.26322,0.000693351,0.000693351,0.000693351
28,119.527,2.2027,2.51519,0.02076,0.27948,0.68875,0.13931,0.13426,0.04519,2.35986,2.58164,0.02311,0.43122,0.000665057,0.000665057,0.000665057
29,123.745,2.19508,2.5057,0.01888,0.27893,0.65337,0.15328,0.12244,0.03413,2.47016,2.66671,0.02173,0.38739,0.000636762,0.000636762,0.000636762
30,127.781,2.12981,2.43342,0.0185,0.25955,0.64088,0.14717,0.11312,0.03001,2.4858,2.73418,0.02158,0.32887,0.000608468,0.000608468,0.000608468
31,131.754,2.15115,2.46751,0.01948,0.23847,0.66688,0.14742,0.12717,0.04147,2.2862,2.55983,0.021,0.30853,0.000580174,0.000580174,0.000580174
32,135.788,2.19548,2.4556,0.01996,0.25686,0.66367,0.15651,0.13455,0.04917,2.20727,2.45585,0.02372,0.30931,0.00055188,0.00055188,0.00055188
33,139.874,2.11085,2.39102,0.02007,0.22961,0.65043,0.16484,0.11692,0.03548,2.31532,2.67328,0.02281,0.32181,0.000523586,0.000523586,0.000523586
34,143.977,2.05265,2.44509,0.0191,0.232,0.66999,0.15602,0.128,0.0412,2.38087,2.64643,0.02232,0.3224,0.000495291,0.000495291,0.000495291
35,148.005,2.04266,2.35727,0.01851,0.22528,0.65476,0.1629,0.12498,0.03878,2.31483,2.66498,0.02189,0.30532,0.000466997,0.000466997,0.000466997
36,152.033,2.05252,2.31388,0.01956,0.23634,0.67587,0.16609,0.13882,0.04216,2.24817,2.59349,0.02086,0.27925,0.000438703,0.000438703,0.000438703
37,156.098,2.00094,2.26516,0.01987,0.22029,0.66997,0.1726,0.12848,0.03824,2.3366,2.6102,0.02042,0.28594,0.000410409,0.000410409,0.000410409
38,160.135,1.97981,2.25689,0.01945,0.21331,0.67047,0.17052,0.12858,0.0379,2.36263,2.60957,0.02158,0.31606,0.000382115,0.000382115,0.000382115
39,164.294,1.99958,2.248,0.01897,0.21195,0.67395,0.17371,0.13014,0.03933,2.22203,2.6193,0.01984,0.27565,0.00035382,0.00035382,0.00035382
40,168.265,2.00111,2.19846,0.01992,0.20013,0.66665,0.17346,0.12435,0.03563,2.33206,2.63505,0.02048,0.2625,0.000325526,0.000325526,0.000325526
41,173.156,2.16395,3.10467,0.02076,0.24426,0.71605,0.09828,0.11338,0.04755,2.17694,3.19729,0.02216,0.30745,0.000297232,0.000297232,0.000297232
42,177.038,1.99926,2.56436,0.02159,0.20105,0.68912,0.13857,0.13487,0.05355,2.0357,2.45035,0.0252,0.34107,0.000268938,0.000268938,0.000268938
43,181.594,2.03471,2.50944,0.0237,0.21641,0.67671,0.17245,0.14676,0.06083,2.00921,2.30435,0.02611,0.32362,0.000240644,0.000240644,0.000240644
44,185.588,1.99139,2.30925,0.0245,0.19794,0.68554,0.15749,0.14538,0.06397,1.93387,2.48877,0.02412,0.27601,0.000212349,0.000212349,0.000212349
45,189.553,1.96289,2.4366,0.02317,0.18719,0.69506,0.13784,0.13662,0.05931,1.92114,2.69629,0.02261,0.25431,0.000184055,0.000184055,0.000184055
46,193.373,1.97089,2.27767,0.02298,0.20503,0.6932,0.1317,0.13782,0.06095,1.92313,2.80268,0.02309,0.25845,0.000155761,0.000155761,0.000155761
47,197.188,1.91951,2.18059,0.02352,0.1881,0.68989,0.15271,0.14318,0.06244,1.95265,2.67458,0.02444,0.2735,0.000127467,0.000127467,0.000127467
48,201.241,1.90418,2.24886,0.02365,0.19485,0.67986,0.15708,0.14226,0.06227,1.96953,2.64083,0.02513,0.27707,9.91726e-05,9.91726e-05,9.91726e-05
49,205.065,1.91853,2.29388,0.02197,0.18312,0.67971,0.14128,0.13609,0.06173,1.96764,2.82929,0.02491,0.27509,7.08784e-05,7.08784e-05,7.08784e-05
50,209.167,1.91667,2.22977,0.02189,0.17206,0.67673,0.15135,0.13837,0.06405,1.95655,2.75266,0.02511,0.26379,4.25842e-05,4.25842e-05,4.25842e-05
