epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,1937.74,1.07484,0.96037,0.01434,0.09614,0.33155,0.48608,0.32722,0.1868,1.50841,1.40813,0.0187,0.07609,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,2002,1.06204,0.94459,0.0151,0.0919,0.39064,0.45431,0.37816,0.20686,1.57284,1.38948,0.01923,0.07684,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,2065.82,1.06532,0.94379,0.01378,0.0943,0.40505,0.50397,0.39621,0.23921,1.43401,1.27857,0.01838,0.07122,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,2130.28,1.0531,0.92665,0.01369,0.08959,0.40494,0.47366,0.38081,0.21692,1.43168,1.35159,0.01675,0.082,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2193.12,1.05581,0.92223,0.01476,0.09127,0.39415,0.45361,0.36004,0.21716,1.45341,1.3059,0.01771,0.06653,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2257.63,1.05957,0.92448,0.01508,0.09098,0.38748,0.48026,0.35175,0.19264,1.53582,1.42998,0.01945,0.06879,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2329.19,1.04163,0.90874,0.01522,0.08632,0.40159,0.495,0.37962,0.21254,1.51435,1.35188,0.01849,0.0676,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2400.87,1.05889,0.93358,0.01418,0.09298,0.28913,0.40708,0.25661,0.13073,1.69472,1.74406,0.01975,0.07269,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,2472.06,1.03592,0.90089,0.01411,0.09041,0.38551,0.48036,0.366,0.19738,1.48045,1.41382,0.01709,0.06968,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,2543.62,1.05417,0.92027,0.01279,0.08944,0.47388,0.44969,0.41333,0.25163,1.37751,1.17325,0.01662,0.06339,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,2614.74,1.02595,0.88546,0.01376,0.08771,0.44185,0.46315,0.40664,0.22969,1.49542,1.23618,0.01614,0.07726,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,2685.64,1.03664,0.89177,0.01439,0.08977,0.46394,0.47806,0.44175,0.26229,1.41747,1.20389,0.01737,0.06883,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,2756.71,1.02871,0.89039,0.01469,0.08868,0.43377,0.50373,0.43655,0.25832,1.43136,1.25654,0.01853,0.06682,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,2821.95,1.02842,0.87692,0.01484,0.08808,0.37696,0.47472,0.3523,0.20449,1.50957,1.35107,0.01856,0.06795,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,2885.69,1.02094,0.8684,0.01513,0.08662,0.39871,0.49122,0.37228,0.21464,1.45618,1.39308,0.01881,0.0654,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,2949.76,1.02788,0.87101,0.01478,0.08537,0.43264,0.48782,0.39456,0.24138,1.40925,1.24466,0.01746,0.06547,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,3013.03,1.02194,0.86845,0.01489,0.08657,0.42075,0.4999,0.41483,0.25859,1.3748,1.18722,0.01619,0.06162,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,3076.17,1.02035,0.86821,0.0152,0.08641,0.36049,0.43848,0.32445,0.17205,1.57907,1.44953,0.01717,0.06879,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,3138.5,1.02466,0.8699,0.01489,0.08841,0.40836,0.49868,0.39099,0.23867,1.38283,1.30061,0.01715,0.06203,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,3202.17,1.02059,0.86575,0.0136,0.08818,0.3457,0.47512,0.32299,0.18364,1.53209,1.49589,0.01732,0.06808,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,3265.81,1.0341,0.87407,0.01316,0.09208,0.39657,0.49029,0.37357,0.21654,1.47682,1.31098,0.01868,0.06607,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
