epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,131.904,1.89739,2.30843,0.02048,0.17785,0.7099,0.19459,0.17603,0.0639,2.10083,2.47089,0.02155,0.15394,0.000382115,0.000382115,0.000382115
39,134.961,1.9397,2.20821,0.02168,0.18157,0.7332,0.18963,0.19077,0.08014,1.9905,2.30546,0.02126,0.15502,0.00035382,0.00035382,0.00035382
40,137.863,1.91433,2.21115,0.02264,0.18003,0.71448,0.18649,0.1722,0.0611,2.15277,2.43395,0.02158,0.16469,0.000325526,0.000325526,0.000325526
41,142.759,2.08667,2.64478,0.02526,0.21185,0.66812,0.14201,0.12828,0.05545,1.94782,2.758,0.02192,0.17487,0.000297232,0.000297232,0.000297232
42,145.485,1.95857,2.36897,0.02656,0.16237,0.69029,0.16757,0.16043,0.07977,1.69941,2.50655,0.02181,0.14964,0.000268938,0.000268938,0.000268938
43,148.14,1.88364,2.25055,0.02586,0.16881,0.69507,0.16536,0.15304,0.07311,1.68788,2.40407,0.02241,0.15072,0.000240644,0.000240644,0.000240644
44,150.816,1.84769,2.25435,0.02486,0.16047,0.65725,0.18501,0.12863,0.05513,1.71166,2.34618,0.02196,0.14439,0.000212349,0.000212349,0.000212349
45,153.47,1.87368,2.1866,0.02539,0.16854,0.64911,0.20369,0.12724,0.0602,1.63024,2.33394,0.02117,0.13457,0.000184055,0.000184055,0.000184055
46,156.289,1.8687,2.1579,0.02351,0.14963,0.65333,0.21032,0.13441,0.06537,1.60807,2.34956,0.02085,0.12893,0.000155761,0.000155761,0.000155761
47,159.074,1.81011,2.10502,0.02506,0.15942,0.67402,0.20885,0.15508,0.07585,1.62385,2.28397,0.02082,0.13618,0.000127467,0.000127467,0.000127467
48,161.802,1.83002,2.12253,0.02603,0.14608,0.70116,0.20025,0.17395,0.08398,1.65765,2.19032,0.02146,0.14553,9.91726e-05,9.91726e-05,9.91726e-05
49,164.51,1.74806,2.05864,0.02605,0.145,0.70947,0.19214,0.17758,0.0867,1.64018,2.22923,0.02133,0.14508,7.08784e-05,7.08784e-05,7.08784e-05
50,167.3,1.80675,2.10749,0.02622,0.14726,0.70734,0.19509,0.17715,0.08713,1.631,2.26479,0.02119,0.14514,4.25842e-05,4.25842e-05,4.25842e-05
